,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR19 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff",,,
1,Residential Plot,PKR45 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff",,,
2,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
3,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
4,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
5,Residential Plot,PKR45 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
6,Residential Plot,PKR50 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
7,Residential Plot,PKR32 Lakh,"Al Jalil Garden, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,,,,
8,Residential Plot,PKR28 Lakh,"Al Jalil Garden, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,,,,
9,Residential Plot,PKR47 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
10,Residential Plot,PKR38 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
11,Residential Plot,PKR31 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
12,Residential Plot,PKR32 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
13,Residential Plot,PKR31 Lakh,"Al Jalil Garden, Lahore, Punjab",-,3.7 Marla,For Sale,-,6 days ago,,,,
14,Plot File,PKR20 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
15,Residential Plot,PKR36 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
16,Residential Plot,PKR45 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
17,Residential Plot,PKR37 Lakh,"Al Jalil Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
18,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
19,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
20,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
21,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
22,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
23,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
24,Residential Plot,PKR79 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
25,Residential Plot,PKR67 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,,,,
26,Residential Plot,PKR75 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,,,,
27,Residential Plot,PKR80 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,,,,
28,Residential Plot,PKR48 Lakh,"Al Jalil Garden, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,,,,
29,Plot File,PKR50 Lakh,"Al Jalil Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,PKR10 Lakh,PKR50 Thousand,36 Months
30,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
31,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
32,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
33,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
34,Residential Plot,PKR65 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
35,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
36,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
37,Residential Plot,PKR65 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
38,Residential Plot,PKR65 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
39,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
40,Residential Plot,PKR59 Lakh,"Al Jalil Garden, Lahore, Punjab",-,7.5 Marla,For Sale,-,4 days ago,,,,
