,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Commercial Plot,PKR1.72 Crore,PKR50 Lakh,PKR4 Lakh,6 Months,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
1,Commercial Plot,PKR90 Lakh,PKR25 Lakh,PKR2.25 Lakh,6 Months,"Al Rehman Garden, Lahore, Punjab",-,2 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
2,Residential Plot,PKR65 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
3,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
4,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
5,Residential Plot,PKR33 Lakh,PKR8.5 Lakh,PKR35 Thousand,36 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
6,Residential Plot,PKR35 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4.3 Marla,For Sale,-,5 days ago,
7,Residential Plot,PKR23.75 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
8,Residential Plot,PKR25 Lakh,PKR2.25 Lakh,PKR22 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
9,,,,,,,,,,,,
10,Residential Plot,PKR64 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
11,Residential Plot,PKR38 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
12,Residential Plot,PKR17.85 Lakh,PKR1.5 Lakh,PKR17 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
13,Residential Plot,PKR16.95 Lakh,PKR2.75 Lakh,PKR14 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
14,Residential Plot,PKR33 Lakh,PKR8.5 Lakh,PKR35 Thousand,36 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
15,Residential Plot,PKR30 Lakh,PKR8 Lakh,PKR22.73 Thousand,55 Months,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
16,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
17,Residential Plot,PKR80 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
18,Residential Plot,PKR73.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,
19,Residential Plot,PKR42.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
20,Residential Plot,PKR42.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
21,Residential Plot,PKR38.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
22,Residential Plot,PKR48 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
23,Residential Plot,PKR24 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,
24,Residential Plot,PKR30.5 Lakh,PKR7.25 Lakh,PKR30 Thousand,30 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
25,Residential Plot,PKR75 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
26,Residential Plot,PKR72 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
27,Commercial Plot,PKR70 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,1.3 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
28,Residential Plot,PKR96.6 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",6,14 Marla,For Sale,6,4 weeks ago,
29,Residential Plot,PKR1.09 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
30,Residential Plot,PKR60 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,1 week ago,
31,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
32,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Boundary Wall"
33,Commercial Plot,PKR70 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,2 Marla,For Sale,-,2 weeks ago,
34,Residential Plot,PKR1.1 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
35,Residential Plot,PKR43 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
36,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
37,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
38,Residential Plot,PKR90 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,
39,Residential Plot,PKR82 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
40,Residential Plot,PKR43 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
41,Residential Plot,PKR24 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
42,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
43,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
44,Residential Plot,PKR49.6 Lakh,PKR10 Lakh,PKR50 Thousand,36 Months,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
45,Residential Plot,PKR33 Lakh,PKR8.5 Lakh,PKR35 Thousand,36 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff"
46,Residential Plot,PKR24 Lakh,PKR6.2 Lakh,PKR25 Thousand,36 Months,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
47,Plot File,PKR6.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,14 Marla,For Sale,-,3 days ago,
48,Residential Plot,PKR19 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
49,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
50,Plot File,PKR2.25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
51,Plot File,PKR1.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,6 days ago,
52,Plot File,PKR1.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,6 days ago,
53,Residential Plot,PKR24.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",5,3 Marla,For Sale,3,1 week ago,
54,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
55,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,1 week ago,
56,Residential Plot,PKR37.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
57,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
58,Residential Plot,PKR39 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
59,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
60,Plot File,PKR70.7 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
61,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
62,Residential Plot,PKR41 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
63,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
64,Residential Plot,PKR46 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
65,Residential Plot,PKR75 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
66,Residential Plot,PKR64 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
67,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
68,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
69,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
70,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
71,Residential Plot,PKR55 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
72,Commercial Plot,PKR70.7 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
