,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Plot File,PKR3.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
1,Residential Plot,PKR32.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
2,Residential Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR7.5 Lakh,PKR25 Thousand,42 Months
3,Plot File,PKR3.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
4,Plot File,PKR2 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
5,Residential Plot,PKR18 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
6,Plot File,PKR6.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
7,Residential Plot,PKR38 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,"Possesion,Sewerage,Electricity,Water Supply",,,
8,Residential Plot,PKR14.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 hours ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
9,Residential Plot,PKR22.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 hours ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
