,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR85 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
1,Residential Plot,PKR2 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,1.2 Kanal,For Sale,-,1 week ago,
2,Residential Plot,PKR80 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
3,Residential Plot,PKR1.8 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
4,Residential Plot,PKR85 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
5,Residential Plot,PKR80 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
6,Residential Plot,PKR60 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
7,Residential Plot,PKR59 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
8,Residential Plot,PKR55 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
9,Residential Plot,PKR86 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
10,Residential Plot,PKR1.5 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,15 Marla,For Sale,-,3 weeks ago,
11,Residential Plot,PKR1.8 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
12,Residential Plot,PKR60 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
13,Residential Plot,PKR1.48 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,15 Marla,For Sale,-,2 days ago,
14,Residential Plot,PKR59 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
15,Residential Plot,PKR75 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
16,Residential Plot,PKR1.05 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
17,Residential Plot,PKR85 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
18,Residential Plot,PKR60 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
19,Residential Plot,PKR55 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
20,Residential Plot,PKR60 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
21,Residential Plot,PKR80 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
22,Residential Plot,PKR89 Lakh,"Atomic Energy Society - PAEC, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
23,Residential Plot,PKR1.35 Crore,"Atomic Energy Society - PAEC, Lahore, Punjab",-,15 Marla,For Sale,-,2 weeks ago,
