,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall"
1,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
2,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 weeks ago,
3,Residential Plot,PKR1.25 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,53 minutes ago,
4,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 days ago,
5,Residential Plot,PKR40 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
6,Residential Plot,PKR32 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
7,Residential Plot,PKR78 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,6 days ago,
8,Residential Plot,PKR37 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
9,Residential Plot,PKR1.2 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
10,Residential Plot,PKR76 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,
11,Residential Plot,PKR57 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
12,Residential Plot,PKR75 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
13,Commercial Plot,PKR52 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
14,Residential Plot,PKR95 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
15,Residential Plot,PKR90 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 weeks ago,
16,Residential Plot,PKR1.08 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,
17,Residential Plot,PKR69 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,
18,Residential Plot,PKR70 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,
19,Residential Plot,PKR1.35 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 day ago,
20,Residential Plot,PKR60 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 days ago,
21,Residential Plot,PKR30 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 days ago,
22,Residential Plot,PKR60 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 days ago,
23,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 days ago,
24,Commercial Plot,PKR60 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 days ago,
25,Commercial Plot,PKR1 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 days ago,
26,Commercial Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 days ago,
27,Residential Plot,PKR70 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 days ago,
28,Residential Plot,PKR75 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
29,Commercial Plot,PKR4.75 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
30,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Possesion,Corner,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
31,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
32,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
33,Residential Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
34,Commercial Plot,PKR55 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
35,Commercial Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
36,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
37,Residential Plot,PKR1.8 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
38,Residential Plot,PKR1.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
39,Residential Plot,PKR1.55 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
40,Residential Plot,PKR1.45 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
41,Residential Plot,PKR1.3 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
42,Residential Plot,PKR1.4 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
43,Commercial Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
44,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
45,Residential Plot,PKR50 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
46,Residential Plot,PKR75 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
47,Residential Plot,PKR63 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
48,Commercial Plot,PKR55 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,2.2 Marla,For Sale,-,4 days ago,
49,Residential Plot,PKR70 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
50,Residential Plot,PKR1 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
51,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
52,Residential Plot,PKR63 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
53,Residential Plot,PKR50 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
54,Residential Plot,PKR40 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
55,Residential Plot,PKR31 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,Possesion
56,Residential Plot,PKR35 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
57,Residential Plot,PKR32 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
58,Residential Plot,PKR14 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
59,Residential Plot,PKR22 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
60,Residential Plot,PKR2.2 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
61,Commercial Plot,PKR3.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
62,Commercial Plot,PKR2.45 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
63,Commercial Plot,PKR3.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
64,Commercial Plot,PKR4.75 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
65,Residential Plot,PKR1.25 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
66,Residential Plot,PKR90 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
67,Residential Plot,PKR1 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,7.3 Marla,For Sale,-,4 days ago,
68,Residential Plot,PKR1 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
69,Residential Plot,PKR1.4 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 days ago,
70,Residential Plot,PKR1.1 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,6 days ago,
71,Residential Plot,PKR60 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
72,Commercial Plot,PKR2.49 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas"
73,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
74,Residential Plot,PKR1.35 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
75,Residential Plot,PKR60 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
76,Residential Plot,PKR1.4 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
77,Residential Plot,PKR1.3 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
78,Residential Plot,PKR90 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,
79,Residential Plot,PKR1.05 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,
80,Residential Plot,PKR65 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
81,Residential Plot,PKR1.45 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
82,Residential Plot,PKR90 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,1 week ago,
83,Residential Plot,PKR1.4 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 weeks ago,
84,Commercial Plot,PKR4.3 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 weeks ago,
85,Residential Plot,PKR1.7 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
86,Residential Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
87,Residential Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
88,Residential Plot,PKR90 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 weeks ago,
89,Commercial Plot,PKR90 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,3.6 Marla,For Sale,-,2 weeks ago,
90,Commercial Plot,PKR55 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,2.2 Marla,For Sale,-,2 weeks ago,
91,Commercial Plot,PKR2.2 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 weeks ago,
92,Residential Plot,PKR1.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 weeks ago,
93,Residential Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,
94,Residential Plot,PKR1.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,2 weeks ago,
95,Commercial Plot,PKR85 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,3.6 Marla,For Sale,-,2 weeks ago,
96,Residential Plot,PKR70 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity"
97,Residential Plot,PKR62 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service"
98,Residential Plot,PKR1 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,4 weeks ago,
99,Plot File,PKR13 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 month ago,
100,Residential Plot,PKR40 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 month ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
101,Residential Plot,PKR31 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 month ago,Water Supply
102,Residential Plot,PKR31 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 month ago,Possesion
103,Residential Plot,PKR45 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,2 months ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
104,Residential Plot,PKR68 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,5 months ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
105,Residential Plot,PKR1.4 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,10,6 months ago,
106,Residential Plot,PKR86 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,7 months ago,
107,Residential Plot,PKR55 Lakh,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,7 months ago,
108,Residential Plot,PKR1.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,8 months ago,Possesion
109,Residential Plot,PKR1.5 Crore,"Audit & Accounts Housing Society, Lahore, Punjab",-,16 Marla,For Sale,-,9 months ago,
