,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR1.2 Crore,"BRB Canal Road, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
1,Residential Plot,PKR2.4 Crore,"BRB Canal Road, Lahore, Punjab",-,4 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
2,Residential Plot,PKR4.8 Crore,"BRB Canal Road, Lahore, Punjab",-,8 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,Plot File,PKR95 Lakh,"BRB Canal Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
19,Residential Plot,PKR4.8 Crore,"BRB Canal Road, Lahore, Punjab",-,8 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
20,Residential Plot,PKR2.4 Crore,"BRB Canal Road, Lahore, Punjab",-,4 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
21,Residential Plot,PKR1.2 Crore,"BRB Canal Road, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
22,Residential Plot,PKR2.1 Crore,"BRB Canal Road, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,,,,
23,Residential Plot,PKR1.05 Crore,"BRB Canal Road, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
24,Residential Plot,PKR3.8 Crore,"BRB Canal Road, Lahore, Punjab",-,4 Kanal,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Balloted,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff",,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
