,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR36 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Hospitals,Distance From Airport (kms),Security Staff"
1,Residential Plot,PKR26.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
2,Residential Plot,PKR36 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
3,Residential Plot,PKR27.15 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
4,Residential Plot,PKR32 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
5,Residential Plot,PKR22 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
6,Residential Plot,PKR27 Lakh,"Bahria Education & Medical City, Lahore, Punjab",6,5 Marla,For Sale,5,3 days ago,Nearby Public Transport Service
7,Residential Plot,PKR26.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
8,Residential Plot,PKR27.75 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff"
9,Residential Plot,PKR40 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,6 days ago,
10,Residential Plot,PKR26.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
11,Residential Plot,PKR30 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
12,Residential Plot,PKR32 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,
13,Residential Plot,PKR43 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,
14,Residential Plot,PKR30.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
15,Residential Plot,PKR25 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,"Possesion,Sewerage,Electricity,Water Supply"
16,Residential Plot,PKR28 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
17,Residential Plot,PKR26.8 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,21 hours ago,
18,Residential Plot,PKR40 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
19,Residential Plot,PKR27 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
20,Residential Plot,PKR22 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
21,Residential Plot,PKR28 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
22,Residential Plot,PKR30.25 Lakh,"Bahria Education & Medical City, Lahore, Punjab",5,5 Marla,For Sale,4,1 day ago,"Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Furnished,Drawing Room,Dining Room,Study Room,Prayer Room,Powder Room,Gym,Steam Room,Lounge or Sitting Room,Laundry Room,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Sauna,Jacuzzi,Maintenance Staff,Security Staff,Facilities for Disabled"
23,Residential Plot,PKR31 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,"Possesion,Sewerage,Electricity,Water Supply"
24,Residential Plot,PKR28 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Balloted,Sewerage,Electricity,Water Supply"
25,Residential Plot,PKR22 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
26,Residential Plot,PKR26 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff"
27,Residential Plot,PKR37 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff"
28,Residential Plot,PKR26.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
29,Residential Plot,PKR27 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Distance From Airport (kms),Security Staff"
30,Residential Plot,PKR28 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
31,Residential Plot,PKR29 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
32,Residential Plot,PKR26.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
33,Residential Plot,PKR27 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
34,Residential Plot,PKR22 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
35,Residential Plot,PKR26.5 Lakh,"Bahria Education & Medical City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
