,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Plot File,PKR23 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
1,Residential Plot,PKR45 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
2,Residential Plot,PKR45 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff",PKR12 Lakh,PKR3.4 Lakh,5 Months
3,Residential Plot,PKR45 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
4,Residential Plot,PKR15 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
5,Residential Plot,PKR68 Lakh,"Bahria Nasheman, Lahore, Punjab",-,8 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff",,,
6,Residential Plot,PKR46 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff",,,
7,Residential Plot,PKR44.5 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Restaurants,Distance From Airport (kms)",,,
8,Residential Plot,PKR62 Lakh,"Bahria Nasheman, Lahore, Punjab",-,6 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
9,Residential Plot,PKR45 Lakh,"Bahria Nasheman, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff",,,
