,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Commercial Plot,PKR5.5 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
1,Residential Plot,PKR2.4 Crore,"Bahria Town, Lahore, Punjab",-,18 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
2,Commercial Plot,PKR9 Crore,"Bahria Town, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
3,Residential Plot,PKR2.5 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
4,Residential Plot,PKR69 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
5,Commercial Plot,PKR1.8 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
6,Commercial Plot,PKR5.5 Crore,"Bahria Town, Lahore, Punjab",-,5.5 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
7,Residential Plot,PKR2.8 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
8,Commercial Plot,PKR5.5 Crore,"Bahria Town, Lahore, Punjab",-,6 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Facilities",,,
9,Commercial Plot,PKR10 Crore,"Bahria Town, Lahore, Punjab",-,8.5 Marla,For Sale,-,3 days ago,,,,
10,Commercial Plot,PKR5.5 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
11,Residential Plot,PKR85 Lakh,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,,,
