,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.3 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,5 days ago,
1,Residential Plot,PKR1.35 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,5 days ago,
2,Residential Plot,PKR1.26 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
3,Residential Plot,PKR1.6 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Balloted,Sewerage,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
4,Residential Plot,PKR1.35 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,1 day ago,
5,Residential Plot,PKR1.22 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,1 day ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Boundary Wall"
6,Residential Plot,PKR71 Lakh,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall"
7,Residential Plot,PKR1.1 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
8,Residential Plot,PKR1.3 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,Other Facilities
9,Commercial Plot,PKR2.1 Crore,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
10,Residential Plot,PKR65 Lakh,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
