,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.3 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff"
1,Residential Plot,PKR1.35 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff"
2,Plot File,PKR45 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
3,Plot File,PKR46 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
4,Residential Plot,PKR1.4 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",4,10 Marla,For Sale,4,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Plot File,PKR45 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
6,Plot File,PKR45 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
7,Residential Plot,PKR1.35 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
8,Residential Plot,PKR1.35 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
9,Residential Plot,PKR1.4 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
10,Residential Plot,PKR1.75 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
11,Residential Plot,PKR1.65 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
12,Commercial Plot,PKR2.95 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,"Corner,Disputed,Balloted,Electricity,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Security Staff"
13,Plot File,PKR46 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
14,Plot File,PKR46 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
15,Plot File,PKR50 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
16,Commercial Plot,PKR5.5 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
17,Residential Plot,PKR1.55 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
18,Residential Plot,PKR72 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,
19,Residential Plot,PKR1.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
20,Commercial Plot,PKR1.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2 Marla,For Sale,-,5 days ago,"Distance From Airport (kms),Other Nearby Places"
21,Residential Plot,PKR1.5 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
22,Commercial Plot,PKR3 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4.6 Marla,For Sale,-,2 hours ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
