,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.65 Crore,"Beacon House Society, Lahore, Punjab",-,1.1 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Sewerage,Electricity,Water Supply,Sui Gas"
1,Residential Plot,PKR1.25 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
2,Residential Plot,PKR1.05 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
3,Residential Plot,PKR1.05 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
4,Residential Plot,PKR1.2 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
5,Residential Plot,PKR1.2 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
6,Residential Plot,PKR90 Lakh,"Beacon House Society, Lahore, Punjab",-,8.5 Marla,For Sale,-,11 hours ago,
7,Residential Plot,PKR1.6 Crore,"Beacon House Society, Lahore, Punjab",-,1.1 Kanal,For Sale,-,22 hours ago,
8,Residential Plot,PKR1.6 Crore,"Beacon House Society, Lahore, Punjab",-,1.1 Kanal,For Sale,-,1 day ago,
9,Residential Plot,PKR1.1 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
10,Residential Plot,PKR3 Crore,"Beacon House Society, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,
11,Residential Plot,PKR90 Lakh,"Beacon House Society, Lahore, Punjab",-,8.5 Marla,For Sale,-,1 day ago,
12,Residential Plot,PKR1.55 Crore,"Beacon House Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
13,Residential Plot,PKR1.1 Crore,"Beacon House Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
14,Residential Plot,PKR1.55 Crore,"Beacon House Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
15,Residential Plot,PKR1.5 Crore,"Beacon House Society, Lahore, Punjab",-,18 Marla,For Sale,-,2 days ago,
16,Residential Plot,PKR1.6 Crore,"Beacon House Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
17,Residential Plot,PKR1.56 Crore,"Beacon House Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
18,Residential Plot,PKR1.55 Crore,"Beacon House Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
19,Residential Plot,PKR1.55 Crore,"Beacon House Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
