,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR18 Lakh,"Bedian Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
1,Residential Plot,PKR75 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Balloted,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2,Residential Plot,PKR2.45 Crore,"Bedian Road, Lahore, Punjab",-,7 Kanal,For Sale,-,4 days ago,,,,
3,Residential Plot,PKR80 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,,,,
4,Residential Plot,PKR70 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff,Other Facilities",,,
5,Residential Plot,PKR90 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,,,,
6,Commercial Plot,PKR70 Lakh,"Bedian Road, Lahore, Punjab",-,2 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
7,Residential Plot,PKR2.5 Crore,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,Residential Plot,PKR1 Crore,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,5 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",,,
12,Agricultural Land,PKR2.08 Crore,"Bedian Road, Lahore, Punjab",-,16 Kanal,For Sale,-,6 hours ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
13,Agricultural Land,PKR1.04 Crore,"Bedian Road, Lahore, Punjab",-,8 Kanal,For Sale,-,6 hours ago,"Possesion,Sui Gas,Irrigation,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
14,Agricultural Land,PKR2.63 Crore,"Bedian Road, Lahore, Punjab",-,21 Kanal,For Sale,-,2 days ago,"Possesion,Electricity",,,
15,Agricultural Land,PKR3.85 Crore,"Bedian Road, Lahore, Punjab",-,7 Kanal,For Sale,-,2 days ago,,,,
16,Agricultural Land,PKR23.4 Crore,"Bedian Road, Lahore, Punjab",-,52 Kanal,For Sale,-,2 days ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features",,,
17,Agricultural Land,PKR3.85 Crore,"Bedian Road, Lahore, Punjab",-,7 Kanal,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
18,Residential Plot,PKR16 Crore,"Bedian Road, Lahore, Punjab",-,40 Kanal,For Sale,-,2 days ago,,,,
19,Residential Plot,PKR45 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
20,Agricultural Land,PKR1.4 Crore,"Bedian Road, Lahore, Punjab",-,4 Kanal,For Sale,-,10 hours ago,"Possesion,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
21,Agricultural Land,PKR35 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,10 hours ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
22,Agricultural Land,PKR70 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,10 hours ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
23,Agricultural Land,PKR2.08 Crore,"Bedian Road, Lahore, Punjab",-,16 Kanal,For Sale,-,6 hours ago,"Possesion,Irrigation,Tube Wells,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
24,Agricultural Land,PKR1.04 Crore,"Bedian Road, Lahore, Punjab",-,8 Kanal,For Sale,-,8 hours ago,"Possesion,Irrigation,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
25,Agricultural Land,PKR2.08 Crore,"Bedian Road, Lahore, Punjab",-,16 Kanal,For Sale,-,8 hours ago,"Possesion,Irrigation,Tube Wells,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
26,Agricultural Land,PKR1.6 Crore,"Bedian Road, Lahore, Punjab",-,4 Kanal,For Sale,-,2 days ago,"Possesion,Irrigation,Tube Wells,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
27,Residential Plot,PKR2.6 Crore,"Bedian Road, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
28,Residential Plot,PKR45 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,9 hours ago,,,,
29,Residential Plot,PKR32 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,9 hours ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
30,Residential Plot,PKR30 Lakh,"Bedian Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",PKR10 Lakh,PKR70 Thousand,12 Months
31,Residential Plot,PKR45 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 hours ago,"Possesion,Balloted,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
32,Residential Plot,PKR2.56 Crore,"Bedian Road, Lahore, Punjab",-,8 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff,Other Facilities",,,
33,Residential Plot,PKR6.35 Crore,"Bedian Road, Lahore, Punjab",-,5.3 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
34,Residential Plot,PKR1 Crore,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,,,,
35,Agricultural Land,PKR60 Lakh,"Bedian Road, Lahore, Punjab",-,4 Kanal,For Sale,-,2 days ago,"Possesion,Disputed,Electricity,Sui Gas,Irrigation,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
36,Residential Plot,PKR45 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
37,Agricultural Land,PKR1.15 Crore,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
38,Agricultural Land,PKR5 Crore,"Bedian Road, Lahore, Punjab",-,16 Kanal,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features",,,
39,Residential Plot,PKR5.85 Crore,"Bedian Road, Lahore, Punjab",-,13 Kanal,For Sale,-,3 days ago,,,,
40,Residential Plot,PKR1 Crore,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Corner,Park Facing,Balloted,Electricity,Water Supply,Boundary Wall,Security Staff",PKR25 Lakh,PKR6.25 Lakh,12 Months
41,Residential Plot,PKR1.6 Crore,"Bedian Road, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,,PKR50 Lakh,PKR18.33 Lakh,6 Months
42,Residential Plot,PKR90 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,,,,
43,Residential Plot,PKR5.85 Crore,"Bedian Road, Lahore, Punjab",-,13 Kanal,For Sale,-,3 days ago,,,,
44,Agricultural Land,PKR40 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Tube Wells,Accessible by Road,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
45,Residential Plot,PKR80 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
46,Residential Plot,PKR2.63 Crore,"Bedian Road, Lahore, Punjab",-,21 Kanal,For Sale,-,2 days ago,"Possesion,Electricity",,,
47,Residential Plot,PKR40 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
48,Residential Plot,PKR50 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
49,Residential Plot,PKR60 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
50,Residential Plot,PKR1 Crore,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
51,Commercial Plot,PKR25 Lakh,"Bedian Road, Lahore, Punjab",-,1 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
52,Residential Plot,PKR65 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
53,Residential Plot,PKR1.3 Crore,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,"Parking Spaces,Double Glazed Windows,Central Air Conditioning,Central Heating,Waste Disposal,Floors,Other Main Features,Furnished,Bedrooms,Bathrooms,Servant Quarters,Drawing Room,Dining Room,Kitchens,Study Room,Prayer Room,Powder Room,Gym,Store Rooms,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Other Business and Communication Facilities,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Other Community Facilities,Lawn or Garden,Swimming Pool,Sauna,Jacuzzi,Other Healthcare and Recreation Facilities,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Facilities for Disabled,Other Facilities",,,
54,Residential Plot,PKR2.6 Crore,"Bedian Road, Lahore, Punjab",-,4 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
55,Residential Plot,PKR1.3 Crore,"Bedian Road, Lahore, Punjab",1,2 Kanal,For Sale,1,3 weeks ago,"Kitchens,Other Business and Communication Facilities,Other Community Facilities,Other Healthcare and Recreation Facilities,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
56,Residential Plot,PKR80 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
57,Agricultural Land,PKR64 Lakh,"Bedian Road, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,"Possesion,Tube Wells,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
58,Agricultural Land,PKR41.5 Lakh,"Bedian Road, Lahore, Punjab",-,2.8 Kanal,For Sale,-,1 day ago,"Possesion,Irrigation,Tube Wells,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff",,,
59,Residential Plot,PKR40 Lakh,"Bedian Road, Lahore, Punjab",-,1 Kanal,For Sale,-,21 hours ago,"Possesion,Balloted,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
