,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR73 Lakh,"Canal Garden, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,
1,Commercial Plot,PKR1.22 Crore,"Canal Garden, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,
2,Commercial Plot,PKR45 Lakh,"Canal Garden, Lahore, Punjab",-,2 Marla,For Sale,-,2 days ago,
3,Residential Plot,PKR90 Lakh,"Canal Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
4,Residential Plot,PKR90 Lakh,"Canal Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Commercial Plot,PKR2.25 Crore,"Canal Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 day ago,
6,Commercial Plot,PKR54 Lakh,"Canal Garden, Lahore, Punjab",-,2.3 Marla,For Sale,-,1 day ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
7,Residential Plot,PKR90 Lakh,"Canal Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 day ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
8,Residential Plot,PKR1.5 Crore,"Canal Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
9,Residential Plot,PKR1.69 Crore,"Canal Garden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
