,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Commercial Plot,PKR25 Crore,"Cantt, Lahore, Punjab",-,7.9 Marla,For Sale,-,2 weeks ago,,,,
1,Residential Plot,PKR31.8 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
2,Residential Plot,PKR34.8 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
3,Residential Plot,PKR36.6 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
4,Residential Plot,PKR85 Lakh,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
5,Agricultural Land,PKR3.22 Crore,"Cantt, Lahore, Punjab",-,7 Kanal,For Sale,-,3 days ago,,,,
6,Residential Plot,PKR65 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,,,,
7,Residential Plot,PKR35 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply,Boundary Wall",,,
8,Residential Plot,PKR50 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Boundary Wall",,,
9,Residential Plot,PKR60 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall",,,
10,Commercial Plot,PKR2.25 Crore,"Cantt, Lahore, Punjab",-,12 Marla,For Sale,-,2 days ago,,,,
11,Agricultural Land,PKR2.65 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,6 days ago,,,,
12,Residential Plot,PKR3.8 Crore,"Cantt, Lahore, Punjab",-,10 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff",,,
13,Residential Plot,PKR2.45 Crore,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,,,,
14,Residential Plot,PKR1.3 Crore,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
15,Residential Plot,PKR2.88 Crore,"Cantt, Lahore, Punjab",-,12 Marla,For Sale,-,3 days ago,,,,
16,Residential Plot,PKR2.2 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
17,Residential Plot,PKR10.5 Crore,"Cantt, Lahore, Punjab",-,15 Kanal,For Sale,-,2 days ago,,,,
18,Residential Plot,PKR3.5 Crore,"Cantt, Lahore, Punjab",-,10 Kanal,For Sale,-,3 days ago,,,,
19,Residential Plot,PKR3.5 Crore,"Cantt, Lahore, Punjab",-,10 Kanal,For Sale,-,3 days ago,,,,
20,Residential Plot,PKR2.45 Crore,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,,,,
21,Agricultural Land,PKR38 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
22,Agricultural Land,PKR8.4 Crore,"Cantt, Lahore, Punjab",-,24 Kanal,For Sale,-,3 days ago,"Possesion,Electricity",,,
23,Agricultural Land,PKR45 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
24,Residential Plot,PKR4.8 Crore,"Cantt, Lahore, Punjab",-,6 Kanal,For Sale,-,21 hours ago,,,,
25,Residential Plot,PKR70 Lakh,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,5 days ago,,,,
26,Residential Plot,PKR1.9 Crore,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Security Staff",PKR28.5 Lakh,PKR9 Lakh,12 Months
27,Residential Plot,PKR2.6 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,,,,
28,Residential Plot,PKR70 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply",,,
29,Residential Plot,PKR95 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Restaurants,Nearby Public Transport Service,Security Staff",,,
30,Agricultural Land,PKR2.1 Crore,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Other Nearby Places",,,
31,Residential Plot,PKR3.8 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,4 weeks ago,"Possesion,Electricity,Water Supply,Boundary Wall",,,
32,Commercial Plot,PKR4.8 Crore,"Cantt, Lahore, Punjab",-,12 Marla,For Sale,-,4 weeks ago,"Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
33,Plot File,PKR1.4 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,,,,
34,Plot Form,PKR2.8 Crore,"Cantt, Lahore, Punjab",-,8 Kanal,For Sale,-,1 week ago,,,,
35,Residential Plot,PKR2.5 Crore,"Cantt, Lahore, Punjab",-,5 Kanal,For Sale,-,1 week ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
36,Residential Plot,PKR4.8 Crore,"Cantt, Lahore, Punjab",-,8 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
37,Residential Plot,PKR3.2 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,"Sewerage,Electricity,Boundary Wall",,,
38,Agricultural Land,PKR3 Crore,"Cantt, Lahore, Punjab",-,7 Kanal,For Sale,-,3 days ago,,,,
39,Residential Plot,PKR21 Crore,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,,,,
40,Residential Plot,PKR32.5 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,8 hours ago,,,,
41,Agricultural Land,PKR31.8 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
42,Residential Plot,PKR3.2 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,21 hours ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
43,Residential Plot,PKR5.6 Crore,"Cantt, Lahore, Punjab",-,8 Kanal,For Sale,-,3 days ago,,,,
44,Residential Plot,PKR2.8 Crore,"Cantt, Lahore, Punjab",-,7 Kanal,For Sale,-,3 days ago,,,,
45,Commercial Plot,PKR16 Crore,"Cantt, Lahore, Punjab",-,2 Kanal,For Sale,-,8 hours ago,,,,
46,Agricultural Land,PKR4 Crore,"Cantt, Lahore, Punjab",-,8 Kanal,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Tube Wells,Accessible by Road,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features",,,
47,Commercial Plot,PKR18 Crore,"Cantt, Lahore, Punjab",-,3 Kanal,For Sale,-,3 days ago,,,,
48,Agricultural Land,PKR2.8 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features",,,
49,Agricultural Land,PKR4 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
50,Residential Plot,PKR1.8 Crore,"Cantt, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Boundary Wall,Security Staff",,,
51,Residential Plot,PKR18.7 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Water Supply,Sui Gas",,,
52,Residential Plot,PKR19.5 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Water Supply,Sui Gas",,,
53,Residential Plot,PKR19.7 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Water Supply,Sui Gas",,,
54,Residential Plot,PKR19.9 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Water Supply,Sui Gas",,,
55,Residential Plot,PKR18.9 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Water Supply,Sui Gas",,,
56,Residential Plot,PKR17.6 Lakh,"Cantt, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Water Supply,Sui Gas",,,
57,Residential Plot,PKR30.4 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
58,Residential Plot,PKR31.4 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
59,Residential Plot,PKR32.8 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
60,Residential Plot,PKR33.6 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
61,Residential Plot,PKR35.2 Lakh,"Cantt, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas",,,
62,Agricultural Land,PKR30 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Electricity,Irrigation,Accessible by Road,Land Fertility",,,
