,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR3.45 Crore,"Chinar Bagh, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,
1,Residential Plot,PKR1.2 Crore,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
2,Residential Plot,PKR70 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
3,Residential Plot,PKR72 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
4,Residential Plot,PKR72 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
5,Residential Plot,PKR29 Lakh,"Chinar Bagh, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
6,Residential Plot,PKR1 Crore,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
7,Residential Plot,PKR70 Lakh,"Chinar Bagh, Lahore, Punjab",-,7.7 Marla,For Sale,-,2 weeks ago,
8,Residential Plot,PKR73 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
9,Residential Plot,PKR95 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
10,Residential Plot,PKR90 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
11,Residential Plot,PKR91 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
12,Residential Plot,PKR81 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
13,Residential Plot,PKR84 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
14,Residential Plot,PKR38 Lakh,"Chinar Bagh, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
15,Residential Plot,PKR28 Lakh,"Chinar Bagh, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
16,Commercial Plot,PKR98 Lakh,"Chinar Bagh, Lahore, Punjab",-,6 Marla,For Sale,-,3 days ago,
17,Residential Plot,PKR1.25 Crore,"Chinar Bagh, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
18,Residential Plot,PKR95 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
19,Residential Plot,PKR80 Lakh,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
