,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR75 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Security Staff"
1,Residential Plot,PKR95 Lakh,"College Road, Lahore, Punjab",-,9.5 Marla,For Sale,-,6 days ago,"Possesion,Corner,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
2,Residential Plot,PKR5 Crore,"College Road, Lahore, Punjab",-,1.7 Kanal,For Sale,-,1 week ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
3,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
4,Commercial Plot,PKR9.5 Crore,"College Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
5,Commercial Plot,PKR9 Crore,"College Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
6,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
7,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,"Possesion,Balloted,Sewerage,Electricity,Boundary Wall"
8,Residential Plot,PKR65 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
9,Residential Plot,PKR40 Lakh,"College Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
10,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
11,Residential Plot,PKR80 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
12,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
13,Residential Plot,PKR90 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
14,Residential Plot,PKR95 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
15,Residential Plot,PKR75 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
16,Commercial Plot,PKR8 Crore,"College Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
17,Commercial Plot,PKR8 Crore,"College Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
18,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
19,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
20,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
21,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
22,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
23,Residential Plot,PKR95 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
24,Residential Plot,PKR86 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
25,Residential Plot,PKR85 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
26,Residential Plot,PKR70 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
27,Residential Plot,PKR90 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
28,Residential Plot,PKR1.25 Crore,"College Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,
29,Residential Plot,PKR55 Lakh,"College Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
30,Residential Plot,PKR65 Lakh,"College Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
31,Residential Plot,PKR58 Lakh,"College Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
32,Commercial Plot,PKR12 Crore,"College Road, Lahore, Punjab",-,4 Kanal,For Sale,-,3 weeks ago,
33,Residential Plot,PKR50 Lakh,"College Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 hours ago,
34,Residential Plot,PKR50 Lakh,"College Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 hours ago,
35,Residential Plot,PKR52 Lakh,"College Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 hours ago,
36,Residential Plot,PKR60 Lakh,"College Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 hours ago,
37,Residential Plot,PKR55 Lakh,"College Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 hours ago,
38,Residential Plot,PKR5.5 Crore,"College Road, Lahore, Punjab",-,2 Kanal,For Sale,-,9 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
39,Residential Plot,PKR90 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
40,Residential Plot,PKR67 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
41,Residential Plot,PKR1.7 Crore,"College Road, Lahore, Punjab",-,8 Marla,For Sale,-,6 months ago,
42,Residential Plot,PKR90 Lakh,"College Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,
43,Residential Plot,PKR1.75 Crore,"College Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 months ago,
44,Commercial Plot,PKR20 Crore,"College Road, Lahore, Punjab",-,2 Kanal,For Sale,-,8 months ago,"Possesion,File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places"
