,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR22 Crore,"DHA Defence, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,,,,
1,Commercial Plot,PKR6.28 Crore,"DHA Defence, Lahore, Punjab",-,4 Marla,For Sale,-,22 hours ago,,,,
2,Residential Plot,PKR4.65 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,22 hours ago,,,,
3,Residential Plot,PKR5.15 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,22 hours ago,,,,
4,Residential Plot,PKR6.9 Crore,"DHA Defence, Lahore, Punjab",-,1.4 Kanal,For Sale,-,3 days ago,,,,
5,Residential Plot,PKR2.68 Crore,"DHA Defence, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff",,,
6,Residential Plot,PKR3.25 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
7,Residential Plot,PKR3.45 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
8,Commercial Plot,PKR3.35 Crore,"DHA Defence, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,,,,
9,Residential Plot,PKR4.9 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply,Sui Gas",,,
10,Residential Plot,PKR7.25 Crore,"DHA Defence, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply,Sui Gas",,,
11,Residential Plot,PKR6.35 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
12,Residential Plot,PKR4.4 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
13,Residential Plot,PKR2.45 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
14,Commercial Plot,PKR7.5 Crore,"DHA Defence, Lahore, Punjab",-,4 Marla,For Sale,-,17 hours ago,"Possesion,Corner,Balloted",,,
15,Commercial Plot,PKR1.95 Crore,"DHA Defence, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,,,,
16,Residential Plot,PKR2.9 Crore,"DHA Defence, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
17,Residential Plot,PKR3.85 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
18,Residential Plot,PKR3.6 Crore,"DHA Defence, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply,Sui Gas",,,
19,Residential Plot,PKR13 Crore,"DHA Defence, Lahore, Punjab",-,3 Kanal,For Sale,-,2 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
