,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR1.25 Crore,"Defence Road, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,,,,
1,Residential Plot,PKR1.62 Crore,"Defence Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
2,Residential Plot,PKR88 Lakh,"Defence Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
3,Residential Plot,PKR90 Lakh,"Defence Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
4,Residential Plot,PKR1.15 Crore,"Defence Road, Lahore, Punjab",-,6.3 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff",,,
5,Residential Plot,PKR1.8 Crore,"Defence Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff,Other Facilities",,,
6,Residential Plot,PKR95 Lakh,"Defence Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
7,Residential Plot,PKR1.99 Crore,"Defence Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
8,Residential Plot,PKR1.68 Crore,"Defence Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,,,
9,Residential Plot,PKR1.22 Crore,"Defence Road, Lahore, Punjab",-,9 Marla,For Sale,-,3 weeks ago,,,,
10,Residential Plot,PKR1.53 Crore,"Defence Road, Lahore, Punjab",-,9 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas",,,
11,Residential Plot,PKR1.28 Crore,"Defence Road, Lahore, Punjab",-,7.7 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
12,Residential Plot,PKR75 Lakh,"Defence Road, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
13,Commercial Plot,PKR2.4 Crore,"Defence Road, Lahore, Punjab",-,6 Marla,For Sale,-,2 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
14,Commercial Plot,PKR45 Lakh,"Defence Road, Lahore, Punjab",-,1 Marla,For Sale,-,3 days ago,"Disputed,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
15,Residential Plot,PKR1.55 Crore,"Defence Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
16,Residential Plot,PKR1.25 Crore,"Defence Road, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,,,,
17,Residential Plot,PKR1.8 Crore,"Defence Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
18,Residential Plot,PKR2.05 Crore,"Defence Road, Lahore, Punjab",-,18 Marla,For Sale,-,1 day ago,,,,
19,Residential Plot,PKR1.4 Crore,"Defence Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
20,Residential Plot,PKR1.49 Crore,"Defence Road, Lahore, Punjab",-,9 Marla,For Sale,-,1 day ago,,,,
21,Residential Plot,PKR1.75 Crore,"Defence Road, Lahore, Punjab",-,15.5 Marla,For Sale,-,1 day ago,,,,
22,Residential Plot,PKR1.3 Crore,"Defence Road, Lahore, Punjab",-,9 Marla,For Sale,-,1 day ago,,,,
23,Residential Plot,PKR1.44 Crore,"Defence Road, Lahore, Punjab",-,9 Marla,For Sale,-,1 day ago,,,,
24,Commercial Plot,PKR60.8 Crore,"Defence Road, Lahore, Punjab",-,7.7 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff",,,
25,Residential Plot,PKR4 Crore,"Defence Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Water Supply,Boundary Wall",,,
26,Residential Plot,PKR1.85 Crore,"Defence Road, Lahore, Punjab",-,10.1 Marla,For Sale,-,4 days ago,"Possesion,Park Facing,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Security Staff",,,
27,Residential Plot,PKR1.5 Crore,"Defence Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
28,Residential Plot,PKR85 Lakh,"Defence Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
29,Residential Plot,PKR91 Lakh,"Defence Road, Lahore, Punjab",-,4.5 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
30,Residential Plot,PKR92 Lakh,"Defence Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
31,Residential Plot,PKR1.25 Crore,"Defence Road, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,,,,
