,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR5.25 Crore,"EME Society, Lahore, Punjab",-,1.3 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
1,Residential Plot,PKR10 Crore,"EME Society, Lahore, Punjab",-,2 Kanal,For Sale,-,1 month ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
2,Commercial Plot,PKR3.4 Crore,"EME Society, Lahore, Punjab",-,6 Marla,For Sale,-,5 days ago,
3,Residential Plot,PKR11 Crore,"EME Society, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,
4,Residential Plot,PKR4 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
5,Residential Plot,PKR4 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
6,Residential Plot,PKR3.75 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
7,Residential Plot,PKR4.6 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
8,Residential Plot,PKR3.5 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
9,Residential Plot,PKR3.75 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
10,Residential Plot,PKR4.25 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
11,Residential Plot,PKR5.5 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
12,Residential Plot,PKR4.8 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
13,Residential Plot,PKR4.4 Crore,"EME Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
