,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR15.25 Crore,"Eden, Lahore, Punjab",-,4 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
1,Residential Plot,PKR2.2 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2,Residential Plot,PKR3 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
3,Commercial Plot,PKR4.4 Crore,"Eden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,"Public Parking,Community Lawn or Garden,Mosque",PKR1 Crore,PKR18.89 Lakh,18 Months
4,Residential Plot,PKR70 Lakh,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
5,Residential Plot,PKR2.8 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,,,,
6,Commercial Plot,PKR2.75 Crore,"Eden, Lahore, Punjab",-,4.2 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
7,Residential Plot,PKR3.1 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,,,,
8,Residential Plot,PKR12 Crore,"Eden, Lahore, Punjab",-,4 Kanal,For Sale,-,2 weeks ago,,,,
9,Residential Plot,PKR80 Lakh,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,,,,
10,Residential Plot,PKR2.85 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,20 hours ago,,,,
11,Residential Plot,PKR67 Lakh,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
12,Residential Plot,PKR67 Lakh,"Eden, Lahore, Punjab",-,4 Marla,For Sale,-,2 days ago,,,,
13,Residential Plot,PKR1.9 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
14,Residential Plot,PKR1.9 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
15,Residential Plot,PKR3 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
16,Residential Plot,PKR6.2 Crore,"Eden, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
17,Residential Plot,PKR60 Lakh,"Eden, Lahore, Punjab",-,4 Marla,For Sale,-,20 hours ago,"Possesion,Sewerage,Boundary Wall,Nearby Schools,Nearby Shopping Malls,Nearby Restaurants,Security Staff",,,
18,Residential Plot,PKR43 Lakh,"Eden, Lahore, Punjab",-,4 Marla,For Sale,-,3 hours ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
19,Residential Plot,PKR2.75 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
20,Residential Plot,PKR2.05 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
21,Residential Plot,PKR1.85 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
22,Residential Plot,PKR2.55 Crore,"Eden, Lahore, Punjab",-,16 Marla,For Sale,-,1 day ago,,,,
23,Residential Plot,PKR3.2 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
24,Residential Plot,PKR2.1 Crore,"Eden, Lahore, Punjab",-,11 Marla,For Sale,-,1 day ago,,,,
25,Residential Plot,PKR2.9 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
