,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR6 Lakh,"Elite Town, Lahore, Punjab",-,1 Marla,For Sale,-,3 weeks ago,
1,Residential Plot,PKR33 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,"Sewerage,Electricity,Water Supply"
2,Residential Plot,PKR85 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,File,Sewerage,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
3,Residential Plot,PKR14.9 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply"
4,Commercial Plot,PKR20 Lakh,"Elite Town, Lahore, Punjab",-,2 Marla,For Sale,-,6 days ago,"Sewerage,Electricity,Water Supply"
5,Commercial Plot,PKR35 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,"Sewerage,Electricity,Water Supply"
6,Residential Plot,PKR20 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Sewerage,Electricity,Water Supply"
7,Residential Plot,PKR60 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,"Sewerage,Electricity,Water Supply"
8,Commercial Plot,PKR10 Lakh,"Elite Town, Lahore, Punjab",-,1 Marla,For Sale,-,6 days ago,"Sewerage,Electricity,Water Supply"
9,Residential Plot,PKR11 Lakh,"Elite Town, Lahore, Punjab",-,2 Marla,For Sale,-,3 weeks ago,
10,Commercial Plot,PKR38 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
11,Residential Plot,PKR23 Lakh,"Elite Town, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply"
12,Residential Plot,PKR35 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply"
13,Residential Plot,PKR28 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
14,Residential Plot,PKR25 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
15,Residential Plot,PKR34 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
16,Residential Plot,PKR70 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
17,Residential Plot,PKR65 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
18,Residential Plot,PKR70 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
19,Residential Plot,PKR65 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
20,Residential Plot,PKR40 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
21,Residential Plot,PKR35 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
22,Residential Plot,PKR22 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
23,Residential Plot,PKR45 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
24,Residential Plot,PKR20 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
25,Residential Plot,PKR50 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
26,Residential Plot,PKR14 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
27,Residential Plot,PKR14 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
28,Commercial Plot,PKR27 Lakh,"Elite Town, Lahore, Punjab",-,2 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
29,Residential Plot,PKR7 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
30,Commercial Plot,PKR7 Lakh,"Elite Town, Lahore, Punjab",-,1 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
31,Residential Plot,PKR25 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
32,Residential Plot,PKR40 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
33,Residential Plot,PKR70 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
34,Residential Plot,PKR70 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
35,Commercial Plot,PKR27 Lakh,"Elite Town, Lahore, Punjab",-,2 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
36,Residential Plot,PKR40 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
37,Residential Plot,PKR34 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
38,Residential Plot,PKR70 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
39,Residential Plot,PKR14 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
40,Residential Plot,PKR70 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
41,Residential Plot,PKR50 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
42,Residential Plot,PKR85 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply"
43,Residential Plot,PKR85 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply"
44,Residential Plot,PKR85 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply"
45,Residential Plot,PKR50 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
46,Residential Plot,PKR24 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
47,Residential Plot,PKR12 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
48,Residential Plot,PKR26 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
49,Residential Plot,PKR27 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
50,Residential Plot,PKR26 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
51,Residential Plot,PKR50 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
52,Residential Plot,PKR60 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
53,Residential Plot,PKR35 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
54,Residential Plot,PKR16 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
55,Residential Plot,PKR38 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
56,Residential Plot,PKR12 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
57,Residential Plot,PKR18 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
58,Residential Plot,PKR16 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
59,Residential Plot,PKR15 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
60,Residential Plot,PKR14 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
61,Residential Plot,PKR30 Lakh,"Elite Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
62,Residential Plot,PKR15 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
63,Residential Plot,PKR15 Lakh,"Elite Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
64,Residential Plot,PKR16 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply"
65,Commercial Plot,PKR38 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
66,Commercial Plot,PKR38 Lakh,"Elite Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
67,Residential Plot,PKR85 Lakh,"Elite Town, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,"Sewerage,Electricity,Water Supply"
68,Residential Plot,PKR23 Lakh,"Elite Town, Lahore, Punjab",-,4 Marla,For Sale,-,1 month ago,"Sewerage,Electricity,Water Supply"
