,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.85 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
1,Residential Plot,PKR1.45 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
2,Residential Plot,PKR2.35 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
3,Residential Plot,PKR1.45 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
4,Residential Plot,PKR1.5 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
5,Residential Plot,PKR1.6 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
6,Residential Plot,PKR2.05 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
7,Residential Plot,PKR2.75 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
8,Residential Plot,PKR42 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
9,Residential Plot,PKR50 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
10,Residential Plot,PKR47 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
11,Residential Plot,PKR57.5 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
12,Residential Plot,PKR5 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1.6 Kanal,For Sale,-,2 days ago,
13,Residential Plot,PKR2.4 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
14,Residential Plot,PKR2 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
15,Residential Plot,PKR5.3 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1.6 Kanal,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
16,Residential Plot,PKR2.5 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
17,Residential Plot,PKR2.5 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
18,Residential Plot,PKR57 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
19,Residential Plot,PKR51 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
20,Residential Plot,PKR75 Lakh,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
21,Residential Plot,PKR1.5 Crore,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
