,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR29.75 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"Possesion,Corner,Electricity,Water Supply",,,
1,Residential Plot,PKR50 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Park Facing,Electricity",,,
2,Residential Plot,PKR29.75 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,PKR8 Lakh,PKR22 Thousand,60 Months
3,Residential Plot,PKR20.6 Lakh,"Ferozepur Road, Lahore, Punjab",2,5 Marla,For Sale,1,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",PKR3.65 Lakh,PKR15 Thousand,60 Months
4,Residential Plot,PKR22.5 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,Residential Plot,PKR50 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
9,Residential Plot,PKR1.1 Crore,"Ferozepur Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
10,Industrial Land,PKR4.5 Crore,"Ferozepur Road, Lahore, Punjab",-,5 Kanal,For Sale,-,1 week ago,,,,
11,Residential Plot,PKR46 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
12,Residential Plot,PKR65 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
13,Residential Plot,PKR24 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Water Supply,Nearby Schools,Nearby Hospitals,Distance From Airport (kms),Security Staff",,,
14,Plot File,PKR14.25 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,,PKR2.7 Lakh,PKR10.5 Thousand,60 Months
15,Plot File,PKR2.7 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,,,,
16,Plot File,PKR4.2 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
17,Plot File,PKR22.5 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,PKR4.2 Lakh,PKR16 Thousand,60 Months
18,Residential Plot,PKR22 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
19,Residential Plot,PKR22.5 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,PKR4.25 Lakh,PKR16 Thousand,60 Months
20,Residential Plot,PKR14.25 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,,PKR2.75 Lakh,PKR10.5 Thousand,60 Months
21,Residential Plot,PKR72 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
22,Residential Plot,PKR48 Lakh,"Ferozepur Road, Lahore, Punjab",-,3.5 Marla,For Sale,-,1 day ago,,,,
23,Residential Plot,PKR1.48 Crore,"Ferozepur Road, Lahore, Punjab",-,13 Marla,For Sale,-,1 day ago,,,,
24,Residential Plot,PKR46.25 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
25,Residential Plot,PKR61.75 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
26,Residential Plot,PKR8 Crore,"Ferozepur Road, Lahore, Punjab",-,16 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
27,Residential Plot,PKR46 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Boundary Wall",,,
28,Residential Plot,PKR20.75 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Electricity,Sui Gas",PKR5.75 Lakh,PKR22 Thousand,44 Months
29,Residential Plot,PKR57.75 Lakh,"Ferozepur Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
30,Residential Plot,PKR8 Crore,"Ferozepur Road, Lahore, Punjab",-,16 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
31,Residential Plot,PKR18 Lakh,"Ferozepur Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
