,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR85 Lakh,"Formanites Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
1,Residential Plot,PKR1.8 Crore,"Formanites Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
2,Residential Plot,PKR57 Lakh,"Formanites Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,20 hours ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
3,Residential Plot,PKR2.09 Crore,"Formanites Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
4,Residential Plot,PKR1.65 Crore,"Formanites Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
5,Residential Plot,PKR59 Lakh,"Formanites Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
6,Residential Plot,PKR1.22 Crore,"Formanites Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
7,Residential Plot,PKR58 Lakh,"Formanites Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
8,Residential Plot,PKR78 Lakh,"Formanites Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
9,Residential Plot,PKR1.8 Crore,"Formanites Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
