,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR10.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,13 hours ago,,,,
1,Plot File,PKR2 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,,,
2,Plot File,PKR64.8 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
3,Residential Plot,PKR18 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
4,Residential Plot,PKR62.1 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
5,Residential Plot,PKR18.6 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
6,Residential Plot,PKR13.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,PKR1.57 Lakh,PKR15 Thousand,36 Months
7,Residential Plot,PKR21.3 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,,,
8,Plot File,PKR16 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,PKR4 Lakh,PKR13 Thousand,55 Months
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,Residential Plot,PKR21.6 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 hours ago,"Corner,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
13,Plot File,PKR2.16 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
14,Residential Plot,PKR10.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,,,
15,Plot File,PKR1.8 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
16,Commercial Plot,PKR69 Lakh,"GT Road, Lahore, Punjab",-,2.7 Marla,For Sale,-,9 hours ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
17,Plot File,PKR2.16 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,,,,
18,Plot File,PKR3.96 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,,,
19,Residential Plot,PKR26.85 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
20,Residential Plot,PKR43 Lakh,"GT Road, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 days ago,,,,
21,Residential Plot,PKR60 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
22,Residential Plot,PKR65 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
23,Residential Plot,PKR15.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
24,Plot File,PKR3.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,,,
25,Residential Plot,PKR37 Lakh,"GT Road, Lahore, Punjab",-,7 Marla,For Sale,-,4 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls",,,
26,Residential Plot,PKR18 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
27,Residential Plot,PKR28.2 Lakh,"GT Road, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,,PKR5.64 Lakh,PKR50 Thousand,14 Months
28,Commercial Plot,PKR69 Lakh,"GT Road, Lahore, Punjab",-,2.7 Marla,For Sale,-,1 week ago,"Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
29,Residential Plot,PKR24.75 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
30,Residential Plot,PKR64.8 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
31,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,File,Sewerage,Electricity,Water Supply,Boundary Wall,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",PKR3 Lakh,PKR40.28 Thousand,36 Months
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,Residential Plot,PKR9.6 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
36,Plot File,PKR10 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
37,Residential Plot,PKR23 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,"Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
38,Residential Plot,PKR29.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
39,Plot File,PKR16.8 Lakh,"GT Road, Lahore, Punjab",-,6 Marla,For Sale,-,2 days ago,,,,
40,Residential Plot,PKR19 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
41,Residential Plot,PKR27 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,,PKR4 Lakh,PKR25 Thousand,36 Months
42,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Water Supply,Sui Gas,Boundary Wall",PKR3 Lakh,PKR15 Thousand,36 Months
