,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR60 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
1,Residential Plot,PKR60 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
2,Residential Plot,PKR51 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
3,Residential Plot,PKR40 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
4,Residential Plot,PKR60 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
5,Residential Plot,PKR73 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
6,Residential Plot,PKR53 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
7,Residential Plot,PKR51 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
8,Residential Plot,PKR35 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
9,Residential Plot,PKR46 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
10,Residential Plot,PKR40.5 Lakh,"Govt Officers Cooperative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
