,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR44 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
1,Residential Plot,PKR36 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
2,Residential Plot,PKR27 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
3,Residential Plot,PKR24 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
4,Residential Plot,PKR24 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
5,Residential Plot,PKR23.5 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff,Other Facilities"
6,Residential Plot,PKR47 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
7,Residential Plot,PKR37 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
8,Residential Plot,PKR35 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
9,Residential Plot,PKR37 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
10,Residential Plot,PKR36 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
11,Residential Plot,PKR36 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
12,Residential Plot,PKR33 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
13,Residential Plot,PKR26 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
14,Residential Plot,PKR24 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
15,Residential Plot,PKR53 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
16,Residential Plot,PKR55 Lakh,"Grand Avenues Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
