,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Commercial Plot,PKR99 Crore,"Gulberg, Lahore, Punjab",-,6 Kanal,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
1,Commercial Plot,PKR50 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,
2,Commercial Plot,PKR1.65 Arab,"Gulberg, Lahore, Punjab",-,8 Kanal,For Sale,-,4 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
3,Residential Plot,PKR1.92 Arab,"Gulberg, Lahore, Punjab",-,24 Kanal,For Sale,-,2 weeks ago,
4,Commercial Plot,PKR65 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
5,Residential Plot,PKR3.25 Crore,"Gulberg, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
6,Commercial Plot,PKR26 Crore,"Gulberg, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
7,Commercial Plot,PKR2.5 Arab,"Gulberg, Lahore, Punjab",-,8 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
8,Agricultural Land,PKR25.89 Thousand,"Gulberg, Lahore, Punjab",-,369 Kanal,For Sale,-,1 day ago,"Possesion,Disputed,Electricity,Sui Gas,Security Staff"
9,Commercial Plot,PKR1.05 Arab,"Gulberg, Lahore, Punjab",-,3.6 Kanal,For Sale,-,10 hours ago,
