,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR3.15 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
1,Residential Plot,PKR3.4 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
2,Residential Plot,PKR4 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,6 days ago,
3,Residential Plot,PKR3.45 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,3 weeks ago,
4,Residential Plot,PKR3.3 Crore,"HBFC Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 weeks ago,
5,Residential Plot,PKR7.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,
6,Residential Plot,PKR7.7 Crore,"HBFC Housing Society, Lahore, Punjab",-,1.9 Kanal,For Sale,-,5 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
7,Residential Plot,PKR3.14 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,5 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
8,Residential Plot,PKR3.15 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
9,Residential Plot,PKR3.2 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
10,Residential Plot,PKR3.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
11,Residential Plot,PKR3.35 Crore,"HBFC Housing Society, Lahore, Punjab",-,17.5 Marla,For Sale,-,2 weeks ago,
12,Residential Plot,PKR3.9 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.8 Marla,For Sale,-,2 weeks ago,
13,Residential Plot,PKR3.15 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
14,Residential Plot,PKR3.15 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
15,Residential Plot,PKR3.15 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,2 days ago,
16,Residential Plot,PKR3.55 Crore,"HBFC Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
17,Residential Plot,PKR3.9 Crore,"HBFC Housing Society, Lahore, Punjab",-,19.5 Marla,For Sale,-,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
18,Residential Plot,PKR3.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 days ago,
19,Residential Plot,PKR7.6 Crore,"HBFC Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,
20,Residential Plot,PKR3.14 Crore,"HBFC Housing Society, Lahore, Punjab",-,18.5 Marla,For Sale,-,5 days ago,
21,Residential Plot,PKR3.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
22,Residential Plot,PKR3.9 Crore,"HBFC Housing Society, Lahore, Punjab",-,19.5 Marla,For Sale,-,5 days ago,
23,Residential Plot,PKR3.35 Crore,"HBFC Housing Society, Lahore, Punjab",-,17.5 Marla,For Sale,-,5 days ago,
24,Residential Plot,PKR3.2 Crore,"HBFC Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
25,Residential Plot,PKR3.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
26,Residential Plot,PKR3.35 Crore,"HBFC Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
27,Residential Plot,PKR3.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,6 days ago,
28,Residential Plot,PKR3.8 Crore,"HBFC Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,6 days ago,
29,Residential Plot,PKR3.35 Crore,"HBFC Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,6 days ago,
30,Residential Plot,PKR3.25 Crore,"HBFC Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
31,Residential Plot,PKR7.5 Crore,"HBFC Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,
32,Residential Plot,PKR7.8 Crore,"HBFC Housing Society, Lahore, Punjab",-,2.1 Kanal,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
