,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Commercial Plot,PKR46.5 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
1,Residential Plot,PKR57 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,
2,Residential Plot,PKR55 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,4 weeks ago,
3,Residential Plot,PKR55 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
4,Residential Plot,PKR75 Lakh,"Highcourt Society, Lahore, Punjab",-,6 Marla,For Sale,-,3 weeks ago,"Corner,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
5,Residential Plot,PKR63 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,
6,Residential Plot,PKR67 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
7,Residential Plot,PKR48 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
8,Residential Plot,PKR68 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,6 days ago,
9,Residential Plot,PKR35 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
10,Residential Plot,PKR66 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,
11,Residential Plot,PKR36 Lakh,"Highcourt Society, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
12,Residential Plot,PKR67 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,
13,Residential Plot,PKR50 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
14,Residential Plot,PKR72 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,
15,Residential Plot,PKR47 Lakh,"Highcourt Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,
16,Residential Plot,PKR62 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,
17,Residential Plot,PKR60 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,
18,Residential Plot,PKR48 Lakh,"Highcourt Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,
