,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR4.75 Crore,"IEP Engineers Town, Lahore, Punjab",-,2 Kanal,For Sale,-,8 hours ago,
1,Residential Plot,PKR1.35 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 hours ago,"Possesion,Corner,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
2,Residential Plot,PKR1.3 Crore,"IEP Engineers Town, Lahore, Punjab",-,11.5 Marla,For Sale,-,2 hours ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
3,Residential Plot,PKR1.65 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
4,Residential Plot,PKR1.35 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Residential Plot,PKR1.9 Crore,"IEP Engineers Town, Lahore, Punjab",-,18 Marla,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
6,Residential Plot,PKR1.65 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
7,Residential Plot,PKR1.94 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
8,Residential Plot,PKR1.65 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
9,Residential Plot,PKR1.6 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
10,Residential Plot,PKR1.3 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
11,Residential Plot,PKR3.4 Crore,"IEP Engineers Town, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,
12,Residential Plot,PKR1.52 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,8 hours ago,
13,Residential Plot,PKR1.1 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
14,Residential Plot,PKR2.5 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,8 hours ago,
15,Residential Plot,PKR1.3 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
16,Residential Plot,PKR2.3 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,8 hours ago,
17,Residential Plot,PKR2 Crore,"IEP Engineers Town, Lahore, Punjab",-,18 Marla,For Sale,-,1 day ago,
18,Residential Plot,PKR1.65 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
19,Residential Plot,PKR1.45 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
20,Residential Plot,PKR85 Lakh,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
21,Residential Plot,PKR1.6 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
22,Residential Plot,PKR60 Lakh,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
23,Residential Plot,PKR1.2 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
24,Residential Plot,PKR1.32 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
25,Residential Plot,PKR1.25 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
26,Residential Plot,PKR2.4 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
27,Residential Plot,PKR1.4 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
28,Residential Plot,PKR1.65 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
29,Residential Plot,PKR1.4 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
30,Residential Plot,PKR1.4 Crore,"IEP Engineers Town, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
31,Residential Plot,PKR1.7 Crore,"IEP Engineers Town, Lahore, Punjab",-,18 Marla,For Sale,-,4 days ago,
32,Residential Plot,PKR1.2 Crore,"IEP Engineers Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
