,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR65 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
1,Residential Plot,PKR2.27 Crore,"Iqbal Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
2,Residential Plot,PKR65 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
3,Residential Plot,PKR68 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
4,Residential Plot,PKR42 Lakh,"Iqbal Avenue, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls"
5,Residential Plot,PKR40 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
6,Residential Plot,PKR55 Lakh,"Iqbal Avenue, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
7,Residential Plot,PKR2.1 Crore,"Iqbal Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
8,Residential Plot,PKR1.58 Crore,"Iqbal Avenue, Lahore, Punjab",-,1.6 Kanal,For Sale,-,4 days ago,
9,Residential Plot,PKR51 Lakh,"Iqbal Avenue, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
10,Residential Plot,PKR1.35 Crore,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
11,Residential Plot,PKR67 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
12,Residential Plot,PKR1.95 Crore,"Iqbal Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
13,Residential Plot,PKR75 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
14,Residential Plot,PKR65 Lakh,"Iqbal Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
