,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR4 Crore,"Izmir Town, Lahore, Punjab",-,1.1 Kanal,For Sale,-,39 minutes ago,
1,Residential Plot,PKR3.75 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,22 hours ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
2,Residential Plot,PKR3.45 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
3,Residential Plot,PKR3.5 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
4,Residential Plot,PKR3.4 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Residential Plot,PKR1.45 Crore,"Izmir Town, Lahore, Punjab",-,6 Marla,For Sale,-,3 days ago,"Possesion,Corner,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
6,Residential Plot,PKR7 Crore,"Izmir Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
7,Residential Plot,PKR6.9 Crore,"Izmir Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
8,Residential Plot,PKR7.25 Crore,"Izmir Town, Lahore, Punjab",-,2.2 Kanal,For Sale,-,41 minutes ago,
9,Residential Plot,PKR1.1 Crore,"Izmir Town, Lahore, Punjab",-,5 Marla,For Sale,-,7 hours ago,
10,Residential Plot,PKR2 Crore,"Izmir Town, Lahore, Punjab",-,10 Marla,For Sale,-,7 hours ago,
11,Residential Plot,PKR3 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
12,Residential Plot,PKR6.35 Crore,"Izmir Town, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,
13,Residential Plot,PKR2.9 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
14,Residential Plot,PKR14 Crore,"Izmir Town, Lahore, Punjab",-,4 Kanal,For Sale,-,6 days ago,
15,Residential Plot,PKR6.5 Crore,"Izmir Town, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,
16,Residential Plot,PKR3 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,7 hours ago,
17,Residential Plot,PKR3.6 Crore,"Izmir Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Restaurants,Security Staff"
