,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Agricultural Land,PKR2.08 Crore,"Jahman, Lahore, Punjab",-,16 Kanal,For Sale,-,1 day ago,"Possesion,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
1,Agricultural Land,PKR41.5 Lakh,"Jahman, Lahore, Punjab",-,2.8 Kanal,For Sale,-,1 day ago,"Possesion,Tube Wells,Accessible by Road,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
2,Residential Plot,PKR16 Lakh,"Jahman, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
3,Agricultural Land,PKR9.5 Crore,"Jahman, Lahore, Punjab",-,80 Kanal,For Sale,-,1 day ago,,,,
4,Agricultural Land,PKR23.75 Crore,"Jahman, Lahore, Punjab",-,200 Kanal,For Sale,-,1 day ago,,,,
5,Agricultural Land,PKR28.5 Crore,"Jahman, Lahore, Punjab",-,240 Kanal,For Sale,-,1 day ago,,,,
6,Agricultural Land,PKR39.9 Crore,"Jahman, Lahore, Punjab",-,336 Kanal,For Sale,-,1 day ago,,,,
7,Agricultural Land,PKR1.54 Crore,"Jahman, Lahore, Punjab",-,11 Kanal,For Sale,-,3 days ago,"Possesion,Tube Wells,Accessible by Road,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
8,Agricultural Land,PKR70 Lakh,"Jahman, Lahore, Punjab",-,8 Kanal,For Sale,-,1 week ago,,,,
9,Residential Plot,PKR20 Lakh,"Jahman, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",PKR8 Lakh,PKR35 Thousand,34 Months
10,Residential Plot,PKR6 Lakh,"Jahman, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,PKR2.4 Lakh,PKR10.5 Thousand,34 Months
11,Residential Plot,PKR1.65 Crore,"Jahman, Lahore, Punjab",-,5.5 Kanal,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
12,Residential Plot,PKR10 Lakh,"Jahman, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
13,Residential Plot,PKR15 Lakh,"Jahman, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
