,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR24 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
1,Residential Plot,PKR5 Crore,"Jati Umra Road, Lahore, Punjab",-,2.5 Kanal,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
2,Residential Plot,PKR6 Crore,"Jati Umra Road, Lahore, Punjab",-,3 Kanal,For Sale,-,27 minutes ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
3,Residential Plot,PKR4 Crore,"Jati Umra Road, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
4,Residential Plot,PKR63 Lakh,"Jati Umra Road, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,,,,
5,Commercial Plot,PKR1.5 Crore,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
6,Residential Plot,PKR90 Lakh,"Jati Umra Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
7,Residential Plot,PKR24 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
8,Residential Plot,PKR63 Lakh,"Jati Umra Road, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,,,,
9,Commercial Plot,PKR1.5 Crore,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
10,Agricultural Land,PKR42 Crore,"Jati Umra Road, Lahore, Punjab",-,28 Kanal,For Sale,-,4 weeks ago,,,,
11,Residential Plot,PKR1.35 Crore,"Jati Umra Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
12,Plot File,PKR45 Lakh,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
13,Residential Plot,PKR45 Lakh,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
14,Residential Plot,PKR45 Lakh,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
15,Residential Plot,PKR63 Lakh,"Jati Umra Road, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,,,,
16,Residential Plot,PKR90 Lakh,"Jati Umra Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
17,Commercial Plot,PKR1.5 Crore,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
