,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Plot File,PKR4.75 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,,,,
1,Residential Plot,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
2,Commercial Plot,PKR1.8 Crore,"Jia Baga Road, Lahore, Punjab",-,5.3 Marla,For Sale,-,4 weeks ago,,,,
3,Plot File,PKR2.7 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
4,Residential Plot,PKR24 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,PKR2.4 Lakh,PKR12.86 Thousand,42 Months
5,Plot File,PKR64 Lakh,"Jia Baga Road, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,,PKR6.4 Lakh,PKR35 Thousand,42 Months
6,Residential Plot,PKR69.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
7,Plot Form,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,PKR6.47 Lakh,PKR77 Thousand,30 Months
8,Residential Plot,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,PKR6.46 Lakh,PKR2.31 Lakh,10 Months
9,Residential Plot,PKR1.25 Crore,"Jia Baga Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,,PKR18.74 Lakh,PKR2.71 Lakh,30 Months
10,Residential Plot,PKR65 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
11,Residential Plot,PKR65 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
12,Residential Plot,PKR36.94 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
13,Commercial Plot,PKR3.25 Crore,"Jia Baga Road, Lahore, Punjab",-,2 Kanal,For Sale,-,1 week ago,,,,
14,Residential Plot,PKR69.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
15,Residential Plot,PKR36 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
16,Residential Plot,PKR36.94 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,"File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",PKR6.47 Lakh,PKR76.98 Thousand,30 Months
17,Plot File,PKR1.15 Crore,"Jia Baga Road, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,,PKR14.15 Lakh,PKR52 Thousand,42 Months
18,Plot File,PKR67.5 Lakh,"Jia Baga Road, Lahore, Punjab",-,2 Marla,For Sale,-,1 day ago,,PKR10.17 Lakh,PKR28 Thousand,42 Months
19,Plot File,PKR64 Lakh,"Jia Baga Road, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,,PKR25 Thousand,PKR3.5 Thousand,42 Months
20,Plot Form,PKR1.25 Crore,"Jia Baga Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,PKR10.49 Lakh,PKR1.5 Lakh,30 Months
21,Agricultural Land,PKR1.81 Arab,"Jia Baga Road, Lahore, Punjab",-,386 Kanal,For Sale,-,1 day ago,,,,
22,Commercial Plot,PKR22 Crore,"Jia Baga Road, Lahore, Punjab",-,22 Kanal,For Sale,-,1 day ago,,,,
23,Plot File,PKR18.75 Lakh,"Jia Baga Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
24,Plot File,PKR6.5 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
25,Plot File,PKR6.46 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
26,Plot File,PKR10.5 Lakh,"Jia Baga Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
27,Residential Plot,PKR40 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,PKR2 Lakh,PKR25 Thousand,42 Months
28,Residential Plot,PKR27 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,,PKR1.7 Lakh,PKR12.85 Thousand,42 Months
29,Plot File,PKR67.5 Lakh,"Jia Baga Road, Lahore, Punjab",-,2 Marla,For Sale,-,1 day ago,,PKR14.75 Lakh,PKR28.04 Thousand,42 Months
30,Plot File,PKR64 Lakh,"Jia Baga Road, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,,PKR6.4 Lakh,PKR35 Thousand,42 Months
31,Plot File,PKR24 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,,,
32,Plot File,PKR1.15 Crore,"Jia Baga Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Nearby Schools,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
