,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Commercial Plot,PKR10 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
1,Commercial Plot,PKR25 Crore,"Johar Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
2,Commercial Plot,PKR2.25 Crore,"Johar Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
3,Commercial Plot,PKR4.5 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
4,Residential Plot,PKR3.5 Crore,"Johar Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
5,Commercial Plot,PKR2.15 Crore,"Johar Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
6,Residential Plot,PKR2.45 Crore,"Johar Town, Lahore, Punjab",-,12 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service"
7,Commercial Plot,PKR10 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
8,Commercial Plot,PKR3.5 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
9,Commercial Plot,PKR28 Crore,"Johar Town, Lahore, Punjab",-,1.8 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Other Nearby Places,Security Staff"
10,Commercial Plot,PKR8 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Restaurants,Security Staff"
11,Commercial Plot,PKR20 Crore,"Johar Town, Lahore, Punjab",-,2 Kanal,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
12,Residential Plot,PKR1.92 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
13,Residential Plot,PKR75 Lakh,"Johar Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
14,Residential Plot,PKR4.25 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Other Nearby Places"
15,Commercial Plot,PKR4.6 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
16,Residential Plot,PKR2.75 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
17,Commercial Plot,PKR11 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
18,Commercial Plot,PKR3.25 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
19,Commercial Plot,PKR25 Crore,"Johar Town, Lahore, Punjab",-,1.5 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
20,Commercial Plot,PKR11 Crore,"Johar Town, Lahore, Punjab",-,14 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
21,Commercial Plot,PKR9 Crore,"Johar Town, Lahore, Punjab",-,12 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
22,Commercial Plot,PKR6.5 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
23,Residential Plot,PKR4.25 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
24,Commercial Plot,PKR13 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities"
25,Residential Plot,PKR1.5 Crore,"Johar Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
26,Commercial Plot,PKR10 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
27,Commercial Plot,PKR6 Crore,"Johar Town, Lahore, Punjab",-,6 Marla,For Sale,-,2 weeks ago,
28,Commercial Plot,PKR35 Crore,"Johar Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
29,Commercial Plot,PKR15.5 Crore,"Johar Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
30,Residential Plot,PKR3.5 Crore,"Johar Town, Lahore, Punjab",-,12 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
31,Residential Plot,PKR2.45 Crore,"Johar Town, Lahore, Punjab",-,12 Marla,For Sale,-,6 days ago,"Possesion,Corner,Balloted,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
32,Residential Plot,PKR1.7 Crore,"Johar Town, Lahore, Punjab",-,7.5 Marla,For Sale,-,1 week ago,
33,Residential Plot,PKR1.32 Crore,"Johar Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
34,Residential Plot,PKR1.4 Crore,"Johar Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
35,Residential Plot,PKR1.65 Crore,"Johar Town, Lahore, Punjab",-,7.5 Marla,For Sale,-,1 week ago,
36,Residential Plot,PKR3.1 Crore,"Johar Town, Lahore, Punjab",-,12 Marla,For Sale,-,1 week ago,
37,Residential Plot,PKR4.75 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
38,Residential Plot,PKR97 Lakh,"Johar Town, Lahore, Punjab",-,3.5 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
39,Residential Plot,PKR1.15 Crore,"Johar Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
40,Commercial Plot,PKR8 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
41,Commercial Plot,PKR1.8 Crore,"Johar Town, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
42,Commercial Plot,PKR11 Crore,"Johar Town, Lahore, Punjab",-,12 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
43,Commercial Plot,PKR13 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
44,Commercial Plot,PKR8 Crore,"Johar Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
45,Commercial Plot,PKR17 Crore,"Johar Town, Lahore, Punjab",-,1.2 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
