,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.4 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
1,Residential Plot,PKR1.22 Crore,"Jubilee Town, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,
2,Residential Plot,PKR88 Lakh,"Jubilee Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
3,Commercial Plot,PKR9 Crore,"Jubilee Town, Lahore, Punjab",-,2 Kanal,For Sale,-,1 week ago,
4,Residential Plot,PKR1.18 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,11 hours ago,"Possesion,Balloted,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Commercial Plot,PKR13 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
6,Residential Plot,PKR1.27 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff"
7,Residential Plot,PKR1.7 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff"
8,Residential Plot,PKR88 Lakh,"Jubilee Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
9,Residential Plot,PKR3.5 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
10,Residential Plot,PKR1.2 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
11,Residential Plot,PKR64 Lakh,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
12,Residential Plot,PKR1.32 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
13,Residential Plot,PKR75 Lakh,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff"
14,Residential Plot,PKR67 Lakh,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff"
15,Residential Plot,PKR3.5 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff,Other Facilities"
16,Residential Plot,PKR1.9 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals"
17,Residential Plot,PKR1.2 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,10 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
18,Commercial Plot,PKR4.5 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
19,Residential Plot,PKR4 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
20,Residential Plot,PKR4.5 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
21,Commercial Plot,PKR1.25 Crore,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Public Transport Service,Security Staff"
22,Residential Plot,PKR1.25 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
23,Residential Plot,PKR90 Lakh,"Jubilee Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff"
24,Residential Plot,PKR89 Lakh,"Jubilee Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Other Nearby Places,Security Staff"
25,Residential Plot,PKR1.2 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
26,Residential Plot,PKR4.5 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
27,Residential Plot,PKR1.85 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
28,Residential Plot,PKR78 Lakh,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Facilities"
29,Residential Plot,PKR2.35 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
30,Residential Plot,PKR1.2 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
31,Residential Plot,PKR1.2 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
32,Residential Plot,PKR1.05 Crore,"Jubilee Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
33,Residential Plot,PKR2.4 Crore,"Jubilee Town, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
34,Residential Plot,PKR64 Lakh,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,-,4 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
35,Commercial Plot,PKR1.65 Crore,"Jubilee Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals"
