,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Commercial Plot,PKR90 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,2 Marla,For Sale,-,3 days ago,,,,
1,Residential Plot,PKR39 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
2,Residential Plot,PKR50 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
3,Residential Plot,PKR95 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
4,Residential Plot,PKR54 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
5,Residential Plot,PKR95 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
6,Residential Plot,PKR90 Lakh,"Khayaban-e-Amin, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,,,,
7,Residential Plot,PKR1.8 Crore,"Khayaban-e-Amin, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff",,,
8,Residential Plot,PKR1.95 Crore,"Khayaban-e-Amin, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff",,,
9,Residential Plot,PKR1.12 Crore,"Khayaban-e-Amin, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
