,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR6.5 Crore,"LDA Avenue, Lahore, Punjab",-,2 Kanal,For Sale,-,1 week ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
1,Residential Plot,PKR1.45 Crore,"LDA Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Sewerage,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
2,Residential Plot,PKR1.1 Crore,"LDA Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
3,Residential Plot,PKR1.5 Crore,"LDA Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Nearby Schools,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places"
4,Residential Plot,PKR1.9 Crore,"LDA Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Residential Plot,PKR1.55 Crore,"LDA Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
6,Residential Plot,PKR1.14 Crore,"LDA Avenue, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
7,Residential Plot,PKR10 Crore,"LDA Avenue, Lahore, Punjab",-,2 Kanal,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
8,Residential Plot,PKR3.25 Crore,"LDA Avenue, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
9,Residential Plot,PKR13.5 Crore,"LDA Avenue, Lahore, Punjab",-,3 Kanal,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
