,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR45 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
1,Residential Plot,PKR23 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
2,Residential Plot,PKR26 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
3,Residential Plot,PKR26 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
4,Residential Plot,PKR56 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
5,Residential Plot,PKR38 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
6,Residential Plot,PKR65 Lakh,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
7,Residential Plot,PKR58 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
8,Residential Plot,PKR19 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
9,Residential Plot,PKR60 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,,,,
10,Residential Plot,PKR21 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 hours ago,,,,
11,Residential Plot,PKR23 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
12,Residential Plot,PKR2 Crore,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
13,Commercial Plot,PKR2.75 Crore,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
14,Commercial Plot,PKR2.8 Crore,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
15,Residential Plot,PKR17 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
16,Residential Plot,PKR60 Lakh,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
17,Residential Plot,PKR22.5 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
18,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
19,Residential Plot,PKR18 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
20,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places",,,
21,Residential Plot,PKR30 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
22,Residential Plot,PKR22 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
