,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR10.5 Lakh,PKR2.63 Lakh,PKR6.5 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
1,Residential Plot,PKR15 Lakh,PKR5.2 Lakh,PKR15 Thousand,24 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
2,Plot File,PKR15 Lakh,PKR2.75 Lakh,PKR9.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
3,Plot File,PKR3 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
4,Plot File,PKR2 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
5,Plot File,PKR2.75 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
6,Plot File,PKR1.75 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
7,Plot File,PKR9.45 Lakh,PKR1.75 Lakh,PKR6.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,4 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
8,Residential Plot,PKR15 Lakh,PKR2.75 Lakh,PKR9.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
9,Residential Plot,PKR9.45 Lakh,PKR1.75 Lakh,PKR6.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
10,Plot File,PKR15 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
11,Plot File,PKR28.5 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
12,Commercial Plot,PKR8 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,2 Marla,For Sale,-,2 days ago,
13,Residential Plot,PKR17.5 Lakh,PKR4.47 Lakh,PKR10 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
14,Plot File,PKR2.63 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
15,Plot File,PKR4.47 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
