,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR14.25 Lakh,PKR2.85 Lakh,PKR7.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
1,Plot File,PKR24.5 Lakh,PKR2.5 Lakh,PKR15 Thousand,50 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
2,Residential Plot,PKR14.25 Lakh,PKR2.85 Lakh,PKR7.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
3,Residential Plot,PKR75 Lakh,PKR7.5 Lakh,PKR45 Thousand,56 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
4,Residential Plot,PKR17.5 Lakh,PKR1.75 Lakh,PKR11 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
5,Residential Plot,PKR12 Lakh,PKR2.5 Lakh,PKR11 Thousand,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff"
6,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
7,Plot File,PKR9.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
8,Plot File,PKR19 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
9,Plot File,PKR2.85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
10,Plot File,PKR4.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
11,Residential Plot,PKR23.75 Lakh,PKR4.75 Lakh,PKR10 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
12,Residential Plot,PKR47.5 Lakh,PKR9.5 Lakh,PKR20 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
13,Residential Plot,PKR35 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
14,Residential Plot,PKR23.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
15,Residential Plot,PKR23.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls"
16,Residential Plot,PKR14.25 Lakh,PKR2.85 Lakh,PKR7.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
17,Residential Plot,PKR23 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply"
18,Residential Plot,PKR3.4 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,
19,Residential Plot,PKR45 Lakh,PKR6.75 Lakh,PKR60 Thousand,30 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
20,Residential Plot,PKR24.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
