,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR45 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
1,Residential Plot,PKR87 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,6 Marla,For Sale,-,1 week ago,
2,Residential Plot,PKR49.5 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,
3,Residential Plot,PKR68 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
4,Residential Plot,PKR45 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,
5,Residential Plot,PKR1.25 Crore,"Lahore Medical Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
6,Residential Plot,PKR71.5 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,5.5 Marla,For Sale,-,2 days ago,
7,Residential Plot,PKR38 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,2.9 Marla,For Sale,-,2 days ago,
8,Residential Plot,PKR1.4 Crore,"Lahore Medical Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
9,Residential Plot,PKR38.5 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,2.9 Marla,For Sale,-,2 days ago,
10,Residential Plot,PKR46.5 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
11,Residential Plot,PKR45 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
12,Residential Plot,PKR1.15 Crore,"Lahore Medical Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Corner,Sewerage,Electricity,Sui Gas,Other Nearby Places"
13,Residential Plot,PKR51 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
14,Residential Plot,PKR60 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,5 days ago,
15,Residential Plot,PKR45 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3.2 Marla,For Sale,-,5 days ago,
16,Residential Plot,PKR45 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,3.2 Marla,For Sale,-,5 days ago,
17,Residential Plot,PKR91 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,6.2 Marla,For Sale,-,5 days ago,
18,Residential Plot,PKR85 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
19,Residential Plot,PKR85 Lakh,"Lahore Medical Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
