,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR18.9 Lakh,"Lahore Motorway City, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
1,Residential Plot,PKR26.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",PKR2.65 Lakh,PKR12 Thousand,42 Months
2,Residential Plot,PKR1.75 Crore,"Lahore Motorway City, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
3,Commercial Plot,PKR1 Crore,"Lahore Motorway City, Lahore, Punjab",-,4 Marla,For Sale,-,4 weeks ago,,,,
4,Residential Plot,PKR40 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
5,Residential Plot,PKR18.9 Lakh,"Lahore Motorway City, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 weeks ago,,,,
6,Residential Plot,PKR27 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
7,Residential Plot,PKR18.9 Lakh,"Lahore Motorway City, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
8,Residential Plot,PKR18.9 Lakh,"Lahore Motorway City, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
9,Residential Plot,PKR18.9 Lakh,"Lahore Motorway City, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
10,Residential Plot,PKR26.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
11,Residential Plot,PKR40 Lakh,"Lahore Motorway City, Lahore, Punjab",-,7 Marla,For Sale,-,7 hours ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
12,Commercial Plot,PKR90 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
13,Residential Plot,PKR36.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,7 Marla,For Sale,-,5 days ago,,,,
14,Residential Plot,PKR49.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,,,,
15,Residential Plot,PKR24 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
16,Residential Plot,PKR21 Lakh,"Lahore Motorway City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
17,Residential Plot,PKR49.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
18,Residential Plot,PKR36.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,7 Marla,For Sale,-,1 day ago,,,,
19,Residential Plot,PKR36.5 Lakh,"Lahore Motorway City, Lahore, Punjab",-,7 Marla,For Sale,-,1 day ago,,,,
