,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR31.95 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
1,Plot File,PKR7.15 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
2,Residential Plot,PKR32 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
3,Residential Plot,PKR32 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
4,Residential Plot,PKR31.95 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
5,Commercial Plot,PKR1.8 Crore,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5.3 Marla,For Sale,-,4 days ago,,,,
6,Residential Plot,PKR37.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
7,Residential Plot,PKR32 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
8,Plot File,PKR4.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
9,Residential Plot,PKR37.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
10,Plot File,PKR4.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
