,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.3 Crore,PKR9.5 Lakh,PKR50 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
1,Commercial Plot,PKR2 Crore,PKR20 Lakh,PKR1.5 Lakh,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
2,Commercial Plot,PKR3.2 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
3,Plot File,PKR2.5 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,
4,Commercial Plot,PKR60 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,2 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
5,Commercial Plot,PKR13 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
6,Plot File,PKR20 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
7,Residential Plot,PKR21.5 Lakh,PKR2.15 Lakh,PKR15 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Security Staff"
8,Commercial Plot,PKR2 Crore,PKR20 Lakh,PKR1.5 Lakh,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
9,Residential Plot,PKR65 Lakh,PKR5.25 Lakh,PKR30 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
10,Residential Plot,PKR21.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
11,Residential Plot,PKR1 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
12,Residential Plot,PKR2.5 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
13,Commercial Plot,PKR16.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,File
14,Residential Plot,PKR16.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
15,Residential Plot,PKR2.26 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
16,Residential Plot,PKR2.35 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
17,Plot File,PKR46 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
18,Residential Plot,PKR27 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
19,Plot File,PKR16.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
20,Commercial Plot,PKR13 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
21,Residential Plot,PKR16.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
22,Residential Plot,PKR19.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,7.5 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
23,Residential Plot,PKR27 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
24,Residential Plot,PKR27 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
25,Residential Plot,PKR65 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Shopping Malls"
26,Plot File,PKR1.3 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
27,Residential Plot,PKR1 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Restaurants,Other Nearby Places,Security Staff"
28,Residential Plot,PKR21.5 Lakh,PKR2.5 Lakh,PKR15 Thousand,36 Months,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
29,Plot File,PKR18 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
30,Commercial Plot,PKR65 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,2 Marla,For Sale,-,1 week ago,
31,Commercial Plot,PKR2 Arab,,,,"Main Canal Bank Road, Lahore, Punjab",-,25 Kanal,For Sale,-,2 weeks ago,
32,Commercial Plot,PKR2 Arab,,,,"Main Canal Bank Road, Lahore, Punjab",-,25 Kanal,For Sale,-,2 weeks ago,
33,Commercial Plot,PKR2 Arab,,,,"Main Canal Bank Road, Lahore, Punjab",-,25 Kanal,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
34,Residential Plot,PKR80 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
