,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR30 Crore,"Model Town, Lahore, Punjab",-,4.2 Kanal,For Sale,-,4 weeks ago,"Possesion,Corner,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service"
1,Commercial Plot,PKR7 Crore,"Model Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
2,Residential Plot,PKR2.3 Crore,"Model Town, Lahore, Punjab",-,4 Kanal,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
3,Residential Plot,PKR64 Crore,"Model Town, Lahore, Punjab",-,8 Kanal,For Sale,-,1 day ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
4,Residential Plot,PKR14 Crore,"Model Town, Lahore, Punjab",-,2.7 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
5,Residential Plot,PKR6.3 Crore,"Model Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
6,Commercial Plot,PKR35 Lakh,"Model Town, Lahore, Punjab",-,0.8 Marla,For Sale,-,9 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
7,Residential Plot,PKR18 Crore,"Model Town, Lahore, Punjab",-,2 Kanal,For Sale,-,4 days ago,
8,Residential Plot,PKR25 Crore,"Model Town, Lahore, Punjab",-,3 Kanal,For Sale,-,1 week ago,
9,Residential Plot,PKR25 Crore,"Model Town, Lahore, Punjab",-,3 Kanal,For Sale,-,1 week ago,
10,Residential Plot,PKR16.5 Crore,"Model Town, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
