,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR12 Crore,"Multan Road, Lahore, Punjab",-,6 Kanal,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
1,Residential Plot,PKR10 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
2,Residential Plot,PKR10 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply",,,
3,Residential Plot,PKR10 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Sewerage,Electricity,Water Supply",,,
4,Residential Plot,PKR11.45 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas",,,
5,Commercial Plot,PKR12 Crore,"Multan Road, Lahore, Punjab",-,1.5 Kanal,For Sale,-,4 weeks ago,"Possesion,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
6,Residential Plot,PKR1.59 Crore,"Multan Road, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,,,,
7,Industrial Land,PKR73.8 Crore,"Multan Road, Lahore, Punjab",-,164 Kanal,For Sale,-,19 hours ago,,,,
8,Agricultural Land,PKR15 Crore,"Multan Road, Lahore, Punjab",-,50 Kanal,For Sale,-,3 days ago,"Possesion,Electricity,Sui Gas,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Water Resources,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
9,Commercial Plot,PKR1.64 Arab,"Multan Road, Lahore, Punjab",-,126 Kanal,For Sale,-,5 days ago,,,,
