,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
1,Residential Plot,PKR31 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
2,Commercial Plot,PKR2.6 Crore,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
3,Residential Plot,PKR72 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
4,Residential Plot,PKR46 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
5,Residential Plot,PKR32 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Distance From Airport (kms)"
6,Residential Plot,PKR59 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
7,Residential Plot,PKR32 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
8,Residential Plot,PKR52.5 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
9,Residential Plot,PKR80 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Water Supply"
10,Residential Plot,PKR27 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
11,Residential Plot,PKR46 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
12,Residential Plot,PKR90 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
13,Residential Plot,PKR32 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
14,Residential Plot,PKR33 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
15,Residential Plot,PKR89 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
16,Residential Plot,PKR32 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply"
17,Residential Plot,PKR2.65 Crore,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,23 hours ago,Boundary Wall
18,Residential Plot,PKR1.22 Crore,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,23 hours ago,Boundary Wall
19,Residential Plot,PKR96 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,23 hours ago,Boundary Wall
20,Residential Plot,PKR65 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,23 hours ago,Boundary Wall
21,Residential Plot,PKR59 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,23 hours ago,Boundary Wall
22,Residential Plot,PKR44 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,Boundary Wall
23,Residential Plot,PKR26.5 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,Boundary Wall
24,Residential Plot,PKR33 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,Boundary Wall
25,Residential Plot,PKR67 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
26,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
27,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
28,Residential Plot,PKR65 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
29,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
30,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
31,Residential Plot,PKR48 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
32,Residential Plot,PKR45 Lakh,"NFC 2, Lahore, Punjab",5,5 Marla,For Sale,4,2 weeks ago,
33,Residential Plot,PKR77 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
34,Residential Plot,PKR75 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
35,Residential Plot,PKR33 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
36,Residential Plot,PKR1.2 Crore,"NFC 2, Lahore, Punjab",6,1 Kanal,For Sale,6,4 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places"
37,Residential Plot,PKR32 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
38,Residential Plot,PKR1 Crore,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
39,Residential Plot,PKR96 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply"
40,Residential Plot,PKR28.5 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
41,Residential Plot,PKR28.5 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
42,Residential Plot,PKR28.5 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
43,Residential Plot,PKR90 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
44,Residential Plot,PKR65 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Sewerage"
45,Residential Plot,PKR47 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
46,Residential Plot,PKR30 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
47,Residential Plot,PKR76.5 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
48,Residential Plot,PKR27 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
49,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
50,Residential Plot,PKR75 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
51,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
52,Residential Plot,PKR40 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
53,Residential Plot,PKR33 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
54,Residential Plot,PKR1.25 Crore,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Corner,Sewerage,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
55,Residential Plot,PKR1.02 Crore,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
56,Residential Plot,PKR57 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
57,Residential Plot,PKR90 Lakh,"NFC 2, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
58,Residential Plot,PKR28.5 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
59,Residential Plot,PKR33 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
60,Residential Plot,PKR26.5 Lakh,"NFC 2, Lahore, Punjab",-,5 Marla,For Sale,-,1 hour ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
61,Residential Plot,PKR80 Lakh,"NFC 2, Lahore, Punjab",-,10 Marla,For Sale,-,1 hour ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
