,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.25 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
1,Residential Plot,PKR1.59 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
2,Residential Plot,PKR1.57 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
3,Residential Plot,PKR1.9 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
4,Commercial Plot,PKR1.5 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
5,Residential Plot,PKR1 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,6 Marla,For Sale,-,6 days ago,
6,Residential Plot,PKR2.8 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
7,Residential Plot,PKR95 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,9 Marla,For Sale,-,1 week ago,
8,Residential Plot,PKR1.55 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
9,Residential Plot,PKR88 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5.5 Marla,For Sale,-,3 weeks ago,
10,Residential Plot,PKR2.6 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
11,Residential Plot,PKR1.45 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
12,Residential Plot,PKR1.9 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
13,Residential Plot,PKR1.9 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
14,Residential Plot,PKR2 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls"
15,Residential Plot,PKR1.8 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
16,Residential Plot,PKR65 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
17,Residential Plot,PKR76 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
18,Residential Plot,PKR60 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
19,Residential Plot,PKR3.5 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
20,Residential Plot,PKR78 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
21,Residential Plot,PKR1.65 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
22,Residential Plot,PKR3 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
23,Residential Plot,PKR2.75 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
24,Residential Plot,PKR85 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5.2 Marla,For Sale,-,1 day ago,
25,Residential Plot,PKR1.35 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
26,Residential Plot,PKR75 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
27,Residential Plot,PKR1.3 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
28,Residential Plot,PKR70 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
29,Residential Plot,PKR72 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
30,Residential Plot,PKR90 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5.5 Marla,For Sale,-,1 day ago,
31,Residential Plot,PKR2.5 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,17 Marla,For Sale,-,2 days ago,
32,Residential Plot,PKR1.3 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
33,Residential Plot,PKR70 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
34,Residential Plot,PKR2.25 Crore,"Nasheman-e-Iqbal, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
