,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR1.8 Crore,"OPF Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
1,Residential Plot,PKR2.35 Crore,"OPF Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
2,Residential Plot,PKR2.4 Crore,"OPF Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
3,Residential Plot,PKR1.6 Crore,"OPF Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,,,
4,Residential Plot,PKR2.6 Crore,"OPF Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
5,Residential Plot,PKR1.3 Crore,"OPF Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
6,Residential Plot,PKR2.5 Crore,"OPF Housing Scheme, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,,,,
7,Residential Plot,PKR1.5 Crore,"OPF Housing Scheme, Lahore, Punjab",-,9.8 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
8,Residential Plot,PKR1.5 Crore,"OPF Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
9,Residential Plot,PKR1.5 Crore,"OPF Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
10,Residential Plot,PKR1.08 Crore,"OPF Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
