,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR2.15 Crore,"P & D Housing Society, Lahore, Punjab",-,15 Marla,For Sale,-,1 day ago,
1,Residential Plot,PKR16 Lakh,"P & D Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
2,Residential Plot,PKR4.5 Crore,"P & D Housing Society, Lahore, Punjab",-,1.5 Kanal,For Sale,-,4 days ago,
3,Residential Plot,PKR1.8 Crore,"P & D Housing Society, Lahore, Punjab",-,15 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
4,Residential Plot,PKR4 Crore,"P & D Housing Society, Lahore, Punjab",-,1.5 Kanal,For Sale,-,2 weeks ago,
5,Plot File,PKR47 Lakh,"P & D Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
6,Residential Plot,PKR3.4 Crore,"P & D Housing Society, Lahore, Punjab",-,1.5 Kanal,For Sale,-,3 weeks ago,
7,Residential Plot,PKR3.4 Crore,"P & D Housing Society, Lahore, Punjab",-,1.5 Kanal,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Other Nearby Places,Security Staff,Other Facilities"
8,Residential Plot,PKR3.1 Crore,"P & D Housing Society, Lahore, Punjab",-,1.5 Kanal,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
9,Residential Plot,PKR20 Lakh,"P & D Housing Society, Lahore, Punjab",-,7.5 Marla,For Sale,-,11 hours ago,
10,Residential Plot,PKR1.75 Crore,"P & D Housing Society, Lahore, Punjab",-,15 Marla,For Sale,-,1 day ago,
11,Residential Plot,PKR1.75 Crore,"P & D Housing Society, Lahore, Punjab",-,15 Marla,For Sale,-,1 day ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff"
