,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR93 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,4.4 Marla,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
1,Commercial Plot,PKR60 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,3.2 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2,Commercial Plot,PKR58 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
3,Residential Plot,PKR98 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
4,Residential Plot,PKR1 Crore,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
5,Residential Plot,PKR26 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
6,Residential Plot,PKR22 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner",,,
7,Residential Plot,PKR22 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
8,Residential Plot,PKR20 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
9,Residential Plot,PKR28 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 days ago,,,,
10,Residential Plot,PKR24 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
11,Residential Plot,PKR1.1 Crore,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
12,Residential Plot,PKR28 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
13,Residential Plot,PKR32 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff,Other Facilities",,,
14,Residential Plot,PKR28 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
15,Residential Plot,PKR38 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
16,Residential Plot,PKR35 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",,,
17,Residential Plot,PKR27 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,11 hours ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas",,,
18,Residential Plot,PKR46 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,11 hours ago,"Possesion,Sewerage,Electricity",,,
19,Residential Plot,PKR22 Lakh,"Pak Arab Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,11 hours ago,"Possesion,Sewerage,Electricity,Water Supply",,,
