,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.7 Crore,"Paragon City, Lahore, Punjab",-,6.5 Marla,For Sale,-,3 days ago,
1,Residential Plot,PKR1.4 Crore,"Paragon City, Lahore, Punjab",-,5.5 Marla,For Sale,-,1 week ago,
2,Residential Plot,PKR1.2 Crore,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
3,Residential Plot,PKR95 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
4,Residential Plot,PKR65 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
5,Residential Plot,PKR1.75 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
6,Residential Plot,PKR3.5 Crore,"Paragon City, Lahore, Punjab",-,1 Kanal,For Sale,-,8 hours ago,
7,Residential Plot,PKR1.7 Crore,"Paragon City, Lahore, Punjab",-,7 Marla,For Sale,-,8 hours ago,
8,Residential Plot,PKR1.2 Crore,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
9,Residential Plot,PKR85 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
10,Residential Plot,PKR65 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
11,Residential Plot,PKR1.7 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
12,Residential Plot,PKR75 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
13,Commercial Plot,PKR2 Crore,"Paragon City, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
14,Commercial Plot,PKR85 Lakh,"Paragon City, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
15,Residential Plot,PKR2.5 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
16,Residential Plot,PKR2.7 Crore,"Paragon City, Lahore, Punjab",-,11.5 Marla,For Sale,-,3 days ago,"File,Balloted,Sewerage,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
17,Commercial Plot,PKR2.5 Crore,"Paragon City, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
18,Commercial Plot,PKR2.5 Crore,"Paragon City, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
19,Commercial Plot,PKR1.75 Crore,"Paragon City, Lahore, Punjab",-,6 Marla,For Sale,-,2 days ago,
20,Residential Plot,PKR1.35 Crore,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
21,Residential Plot,PKR65 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
22,Residential Plot,PKR1 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Sewerage,Boundary Wall"
23,Residential Plot,PKR1.05 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Sewerage,Water Supply,Boundary Wall,Security Staff"
24,Residential Plot,PKR65 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Sewerage,Water Supply,Boundary Wall,Security Staff"
25,Residential Plot,PKR2.4 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
26,Residential Plot,PKR1.15 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
27,Residential Plot,PKR1.1 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,8 hours ago,
28,Residential Plot,PKR3.75 Crore,"Paragon City, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
29,Commercial Plot,PKR1.15 Crore,"Paragon City, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
30,Residential Plot,PKR80 Lakh,"Paragon City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
31,Commercial Plot,PKR1.15 Crore,"Paragon City, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
32,Residential Plot,PKR1.7 Crore,"Paragon City, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
