,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR38 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
1,Residential Plot,PKR38 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,PKR12 Lakh,PKR37.5 Thousand,44 Months
2,Commercial Plot,PKR4.4 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR70 Lakh,PKR3.75 Lakh,72 Months
3,Residential Plot,PKR38.9 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Other Facilities",PKR6.18 Lakh,PKR30 Thousand,44 Months
4,Plot File,PKR6.18 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
5,Plot File,PKR38.9 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
6,Residential Plot,PKR38 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,,,,
7,Residential Plot,PKR42 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
8,Residential Plot,PKR43 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
9,Residential Plot,PKR41 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
10,Residential Plot,PKR1.3 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Other Facilities",PKR23 Lakh,PKR95 Thousand,33 Months
11,Residential Plot,PKR58 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Other Facilities",PKR10 Lakh,PKR55 Thousand,33 Months
12,Residential Plot,PKR38 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
13,Residential Plot,PKR48 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply,Boundary Wall",,,
14,Commercial Plot,PKR2.1 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
15,Residential Plot,PKR38 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,,,,
16,Residential Plot,PKR38.9 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
17,Plot File,PKR6.18 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
18,Plot File,PKR6.18 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
19,Plot File,PKR6.18 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
20,Plot File,PKR6.18 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
21,Residential Plot,PKR80 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,PKR14 Lakh,PKR70 Thousand,36 Months
22,Residential Plot,PKR90 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
23,Plot File,PKR10 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
24,Plot File,PKR10 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
