,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR1.95 Crore,"Raiwind Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
1,Residential Plot,PKR1.3 Crore,"Raiwind Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2,Residential Plot,PKR2.9 Crore,"Raiwind Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
3,Residential Plot,PKR2.5 Crore,"Raiwind Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
4,Residential Plot,PKR55 Lakh,"Raiwind Road, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,,,,
5,Residential Plot,PKR97 Lakh,"Raiwind Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Park Facing,Balloted,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
6,Commercial Plot,PKR1.45 Crore,"Raiwind Road, Lahore, Punjab",-,2 Marla,For Sale,-,3 days ago,"Possesion,Corner,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Shopping Malls,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",PKR82 Lakh,PKR10 Lakh,6 Months
7,Residential Plot,PKR25 Lakh,"Raiwind Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
8,Residential Plot,PKR16 Lakh,"Raiwind Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,,,
9,Residential Plot,PKR32 Lakh,"Raiwind Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 hours ago,,PKR7 Lakh,PKR25 Thousand,48 Months
10,Residential Plot,PKR40 Lakh,"Raiwind Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,,,
11,Residential Plot,PKR42.5 Lakh,"Raiwind Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,,,
12,Residential Plot,PKR1.6 Crore,"Raiwind Road, Lahore, Punjab",-,1 Kanal,For Sale,-,12 hours ago,,,,
