,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR13.5 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
1,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
2,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
3,Residential Plot,PKR9.75 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR97.5 Thousand,PKR9 Thousand,36 Months
4,Plot File,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
5,Commercial Plot,PKR50 Lakh,"Rana Town, Lahore, Punjab",-,17 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)",,,
6,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
7,Residential Plot,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
8,Residential Plot,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
9,Plot File,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
10,Plot File,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
11,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
12,Residential Plot,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
13,Residential Plot,PKR9.75 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
14,Residential Plot,PKR5.95 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,,,
15,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
16,Residential Plot,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
17,Plot File,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
18,Plot File,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
19,Plot File,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
20,Plot File,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
21,Plot File,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
22,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
23,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
24,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
25,Residential Plot,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
26,Residential Plot,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR2.5 Lakh,PKR3 Thousand,48 Months
27,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
28,Plot File,PKR10.5 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,,,
29,Residential Plot,PKR9.5 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",,,
30,Residential Plot,PKR30 Lakh,"Rana Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,PKR5 Lakh,PKR30 Thousand,48 Months
31,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
32,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR9 Thousand,48 Months
33,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR3 Thousand,48 Months
34,Residential Plot,PKR9 Lakh,"Rana Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,PKR1.5 Lakh,PKR3 Thousand,48 Months
35,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
36,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
37,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
38,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
39,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR2.5 Lakh,PKR15 Thousand,48 Months
40,Plot File,PKR15 Lakh,"Rana Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR2.5 Lakh,PKR3 Thousand,48 Months
