,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
1,Residential Plot,PKR22 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
2,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
3,Plot File,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,PKR11.5 Lakh,PKR45 Thousand,55 Months
4,Plot File,PKR29.5 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,,,,
5,Residential Plot,PKR22.5 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
6,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Park Facing,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff",PKR11.5 Lakh,PKR40.45 Thousand,55 Months
7,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",PKR8 Lakh,PKR22.73 Thousand,55 Months
8,Residential Plot,PKR35 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
9,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
10,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",PKR11.5 Lakh,PKR40.45 Thousand,36 Months
11,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
12,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
13,Residential Plot,PKR45 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
14,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
15,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",PKR8 Lakh,PKR22.73 Thousand,40 Months
16,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
17,Residential Plot,PKR60 Lakh,"Rehan Garden, Lahore, Punjab",-,6 Marla,For Sale,-,5 days ago,,,,
18,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
19,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
20,Residential Plot,PKR45 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,,,,
21,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",PKR8 Lakh,PKR22.73 Thousand,36 Months
22,Residential Plot,PKR50 Lakh,"Rehan Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",PKR11.5 Lakh,PKR40.45 Thousand,36 Months
23,Residential Plot,PKR29.75 Lakh,"Rehan Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,Disputed,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
