,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Residential Plot,PKR13 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Other Nearby Places",,,
1,Commercial Plot,PKR60 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply",,,
2,Residential Plot,PKR21 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",PKR3.5 Lakh,PKR20 Thousand,48 Months
3,Residential Plot,PKR21 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"File,Sewerage,Electricity,Water Supply,Boundary Wall",PKR3.5 Lakh,PKR20 Thousand,48 Months
4,Residential Plot,PKR14 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
5,Plot File,PKR11 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
6,Residential Plot,PKR36 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
7,Residential Plot,PKR35 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
8,Residential Plot,PKR32 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,,,,
9,Residential Plot,PKR32 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
10,Residential Plot,PKR26 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
11,Residential Plot,PKR35 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,,,
12,Residential Plot,PKR32 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
13,Residential Plot,PKR13.5 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Sewerage,Electricity,Water Supply",,,
14,Residential Plot,PKR29 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,1 day ago,,,,
15,Residential Plot,PKR19 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,1 day ago,,,,
16,Residential Plot,PKR13.5 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
17,Commercial Plot,PKR1 Crore,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
18,Commercial Plot,PKR85 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
19,Commercial Plot,PKR90 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
20,Commercial Plot,PKR95 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
21,Commercial Plot,PKR45 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
22,Commercial Plot,PKR40 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
23,Commercial Plot,PKR42 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
24,Commercial Plot,PKR30 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,19 hours ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
25,Residential Plot,PKR50 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
26,Commercial Plot,PKR50 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
27,Residential Plot,PKR13 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
28,Residential Plot,PKR9.5 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
29,Commercial Plot,PKR70 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR20 Lakh,PKR70 Thousand,40 Months
30,Residential Plot,PKR34 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,"Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR10 Lakh,PKR38 Thousand,40 Months
31,Residential Plot,PKR32 Lakh,"Safari Garden Housing Scheme, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
