,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
0,Plot File,PKR2.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
1,Residential Plot,PKR18 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,PKR3.5 Lakh,PKR12 Thousand,60 Months
2,Commercial Plot,PKR50 Lakh,"Shadman Enclave, Lahore, Punjab",-,2.7 Marla,For Sale,-,2 weeks ago,,PKR7.5 Lakh,PKR30 Thousand,60 Months
3,Plot File,PKR12.3 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,PKR2.25 Lakh,PKR8.5 Thousand,60 Months
4,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
5,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
6,Plot File,PKR2.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
7,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
8,Residential Plot,PKR60 Lakh,"Shadman Enclave, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,,,,
9,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
10,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
11,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
12,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
13,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
14,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
15,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
16,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
17,Residential Plot,PKR60 Lakh,"Shadman Enclave, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,,,,
18,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
19,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
20,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
21,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
22,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
23,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
24,Residential Plot,PKR32.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
25,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
26,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
27,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
28,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Sewerage,Electricity,Water Supply",,,
29,Residential Plot,PKR12 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
30,Residential Plot,PKR17.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
31,Residential Plot,PKR27 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
32,Residential Plot,PKR27 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
33,Residential Plot,PKR18 Lakh,"Shadman Enclave, Lahore, Punjab",-,1 Marla,For Sale,-,4 days ago,,,,
34,Residential Plot,PKR17 Lakh,"Shadman Enclave, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
35,Residential Plot,PKR17 Lakh,"Shadman Enclave, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
36,Residential Plot,PKR17 Lakh,"Shadman Enclave, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
37,Residential Plot,PKR18.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
38,Residential Plot,PKR18.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,,,,
39,Residential Plot,PKR28 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
40,Commercial Plot,PKR40 Lakh,"Shadman Enclave, Lahore, Punjab",-,2.7 Marla,For Sale,-,4 days ago,,,,
41,Residential Plot,PKR28 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
42,Commercial Plot,PKR1.05 Crore,"Shadman Enclave, Lahore, Punjab",-,5.3 Marla,For Sale,-,4 days ago,,,,
43,Commercial Plot,PKR40 Lakh,"Shadman Enclave, Lahore, Punjab",-,2.7 Marla,For Sale,-,4 days ago,,,,
44,Plot File,PKR6.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
45,Plot File,PKR10.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,,,,
46,Plot File,PKR2.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
47,Plot File,PKR3.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
48,Plot File,PKR12.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
49,Plot File,PKR7.25 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
50,Plot File,PKR4.5 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
51,Residential Plot,PKR12.3 Lakh,"Shadman Enclave, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,,PKR1.23 Lakh,PKR9 Thousand,72 Months
52,Residential Plot,PKR70 Lakh,"Shadman Enclave, Lahore, Punjab",-,11 Marla,For Sale,-,5 days ago,,,,
53,Residential Plot,PKR24 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,5 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Other Nearby Places,Other Facilities",,,
54,Residential Plot,PKR22 Lakh,"Shadman Enclave, Lahore, Punjab",-,5 Marla,For Sale,-,5 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Other Nearby Places,Other Facilities",,,
55,Residential Plot,PKR62 Lakh,"Shadman Enclave, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,,,,
