,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR2.15 Crore,"State Life Housing Society, Lahore, Punjab",-,10.5 Marla,For Sale,-,5 days ago,
1,Residential Plot,PKR65 Lakh,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff"
2,Residential Plot,PKR70 Lakh,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff"
3,Residential Plot,PKR31 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,3 weeks ago,
4,Residential Plot,PKR1.05 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
5,Residential Plot,PKR55 Lakh,"State Life Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
6,Residential Plot,PKR40 Lakh,"State Life Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
7,Plot File,PKR20 Lakh,"State Life Housing Society, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 days ago,
8,Plot File,PKR29 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,2 days ago,
9,Plot File,PKR18 Lakh,"State Life Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,2 days ago,
10,Residential Plot,PKR2.05 Crore,"State Life Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,2 days ago,
11,Residential Plot,PKR75 Lakh,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
12,Residential Plot,PKR1.8 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
13,Plot File,PKR31 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,2 days ago,
14,Plot File,PKR19.5 Lakh,"State Life Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,2 days ago,
15,Residential Plot,PKR3 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
16,Residential Plot,PKR32 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,3 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
17,Commercial Plot,PKR53 Lakh,"State Life Housing Society, Lahore, Punjab",-,2.1 Marla,For Sale,-,2 days ago,Possesion
18,Residential Plot,PKR95 Lakh,"State Life Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
19,Residential Plot,PKR2.1 Crore,"State Life Housing Society, Lahore, Punjab",-,13 Marla,For Sale,-,2 days ago,
20,Residential Plot,PKR2.35 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
21,Residential Plot,PKR1.9 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
22,Residential Plot,PKR2.7 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
23,Residential Plot,PKR2.85 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
24,Residential Plot,PKR2.9 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
25,Residential Plot,PKR65 Lakh,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
