,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR18 Lakh,"Sue-e-Asal, Lahore, Punjab",-,5 Marla,For Sale,-,3 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service"
1,Commercial Plot,PKR10 Crore,"Sue-e-Asal, Lahore, Punjab",-,10 Kanal,For Sale,-,2 days ago,
2,Commercial Plot,PKR8 Crore,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,2 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
3,Industrial Land,PKR8 Crore,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,2 days ago,
4,Commercial Plot,PKR8 Crore,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
5,Residential Plot,PKR70 Lakh,"Sue-e-Asal, Lahore, Punjab",-,1.2 Kanal,For Sale,-,6 days ago,
6,Residential Plot,PKR45 Lakh,"Sue-e-Asal, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
7,Commercial Plot,PKR27 Crore,"Sue-e-Asal, Lahore, Punjab",-,18 Kanal,For Sale,-,6 days ago,"Possesion,Electricity,Sui Gas,Boundary Wall"
8,Industrial Land,PKR2.6 Crore,"Sue-e-Asal, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,
9,Residential Plot,PKR95 Lakh,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
10,Residential Plot,PKR45 Lakh,"Sue-e-Asal, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
11,Residential Plot,PKR3.3 Crore,"Sue-e-Asal, Lahore, Punjab",-,24 Kanal,For Sale,-,1 day ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas"
12,Residential Plot,PKR2.5 Crore,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,1 day ago,
13,Residential Plot,PKR2.2 Crore,"Sue-e-Asal, Lahore, Punjab",-,5.5 Kanal,For Sale,-,1 day ago,
14,Commercial Plot,PKR10 Crore,"Sue-e-Asal, Lahore, Punjab",-,10 Kanal,For Sale,-,2 days ago,
15,Commercial Plot,PKR10 Crore,"Sue-e-Asal, Lahore, Punjab",-,10 Kanal,For Sale,-,2 days ago,
16,Agricultural Land,PKR19.24 Crore,"Sue-e-Asal, Lahore, Punjab",-,37 Kanal,For Sale,-,2 days ago,
17,Commercial Plot,PKR8 Crore,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,2 days ago,
18,Agricultural Land,PKR9.8 Crore,"Sue-e-Asal, Lahore, Punjab",-,56 Kanal,For Sale,-,3 days ago,"Nearby Hospitals,Distance From Airport (kms),Nearby Public Transport Service"
19,Commercial Plot,PKR8 Crore,"Sue-e-Asal, Lahore, Punjab",-,8 Kanal,For Sale,-,5 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas"
20,Commercial Plot,PKR16 Crore,"Sue-e-Asal, Lahore, Punjab",-,16 Kanal,For Sale,-,5 days ago,
21,Commercial Plot,PKR2.48 Crore,"Sue-e-Asal, Lahore, Punjab",-,2.3 Kanal,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
22,Residential Plot,PKR3 Crore,"Sue-e-Asal, Lahore, Punjab",-,5.2 Kanal,For Sale,-,6 days ago,
23,Commercial Plot,PKR5.2 Crore,"Sue-e-Asal, Lahore, Punjab",-,13 Kanal,For Sale,-,6 days ago,
24,Industrial Land,PKR1.1 Crore,"Sue-e-Asal, Lahore, Punjab",-,1.6 Kanal,For Sale,-,6 days ago,
25,Industrial Land,PKR27 Crore,"Sue-e-Asal, Lahore, Punjab",-,18 Kanal,For Sale,-,6 days ago,
26,Industrial Land,PKR2.63 Crore,"Sue-e-Asal, Lahore, Punjab",-,7 Kanal,For Sale,-,6 days ago,
27,Residential Plot,PKR15.5 Lakh,"Sue-e-Asal, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
28,Industrial Land,PKR1.2 Crore,"Sue-e-Asal, Lahore, Punjab",-,3 Kanal,For Sale,-,6 days ago,
29,Industrial Land,PKR7.3 Crore,"Sue-e-Asal, Lahore, Punjab",-,13 Kanal,For Sale,-,6 days ago,
30,Residential Plot,PKR15 Lakh,"Sue-e-Asal, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
31,Commercial Plot,PKR1 Crore,"Sue-e-Asal, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
32,Industrial Land,PKR6.5 Crore,"Sue-e-Asal, Lahore, Punjab",-,13 Kanal,For Sale,-,6 days ago,
33,Residential Plot,PKR15 Lakh,"Sue-e-Asal, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
